program  c.domain  adv.model   protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
31       FIELD     semihonest  shamir            3          0.34          29                 1                  4           0.0281804            0.12                 19            54         ~38           0.648352        1.13651
31       FIELD     semihonest  shamir            3          0.17          18                 1                  6           0.0308869            0.12                 15            53         ~54           0.652512        1.14474
31       FIELD     semihonest  shamir            3          0.18          18                 1                  8           0.0271565            0.11                 15            65         ~70           0.656672        1.15296
31       FIELD     semihonest  shamir            3          0.17          18                 1                  10          0.0332759            0.12                 15            58         ~86           0.660832        1.16118
31       FIELD     semihonest  shamir            3          0.17          18                 1                  12          0.0319694            0.12                 15            58         ~102          0.664992        1.16941
31       FIELD     semihonest  shamir            3          0.17          18                 1                  14          0.0302623            0.12                 15            66         ~118          0.669152        1.17763
31       FIELD     malhonest   malicious-shamir  3          0.34          29                 1                  4           0.133092             0.22                 21            72         ~50           3.53675         8.21002
31       FIELD     malhonest   malicious-shamir  3          0.17          18                 1                  6           0.124702             0.21                 21            81         ~64           3.54494         8.23446
31       FIELD     malhonest   malicious-shamir  3          0.18          18                 1                  8           0.162499             0.25                 22            66         ~78           3.55314         8.25891
31       FIELD     malhonest   malicious-shamir  3          0.17          18                 1                  10          2.41977              2.51                 21            9          ~92           3.56133         8.28336
31       FIELD     malhonest   malicious-shamir  3          0.17          18                 1                  12          0.153317             0.24                 22            79         ~106          3.56952         8.30781
31       FIELD     malhonest   malicious-shamir  3          0.17          18                 1                  14          0.15196              0.24                 21            78         ~120          3.57771         8.33226
31       RING      semihonest  replicated-ring   3          0.18          18                 1                  4           0.00967872           0.08                 15            56         ~35           0.082488        0.247408
31       RING      semihonest  replicated-ring   3          0.17          18                 1                  6           0.0114442            0.09                 17            54         ~49           0.083528        0.250496
31       RING      semihonest  replicated-ring   3          0.18          18                 1                  8           0.014004             0.10                 17            58         ~63           0.084568        0.253584
31       RING      semihonest  replicated-ring   3          0.17          18                 1                  10          0.0147374            0.11                 15            53         ~77           0.085608        0.256672
31       RING      semihonest  replicated-ring   3          0.18          18                 1                  12          0.0153794            0.09                 15            56         ~91           0.086648        0.25976
31       RING      semihonest  replicated-ring   3          0.17          18                 1                  14          0.0175126            0.10                 14            59         ~105          0.087688        0.262848
