program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
31;FIELD;semihonest;shamir;3;0.34;30;1;4;0.0220705;0.10;15;59;~38;0.648352;1.62459
31;FIELD;semihonest;shamir;3;0.18;18;1;6;0.0256854;0.12;15;45;~54;0.652512;1.63685
31;FIELD;semihonest;shamir;3;0.17;18;1;8;0.0254872;0.09;15;57;~70;0.656672;1.6491
31;FIELD;semihonest;shamir;3;0.18;18;1;10;0.0303202;0.11;15;58;~86;0.660832;1.66136
31;FIELD;semihonest;shamir;3;0.17;18;1;12;0.0315864;0.11;15;63;~102;0.664992;1.67362
31;FIELD;semihonest;shamir;3;0.17;18;1;14;0.0334286;0.12;15;61;~118;0.669152;1.68587
31;FIELD;malhonest;malicious-shamir;3;0.34;30;1;4;0.103218;0.18;22;74;~48;3.53669;10.2898
31;FIELD;malhonest;malicious-shamir;3;0.18;18;1;6;0.114877;0.21;23;69;~62;3.54488;10.3143
31;FIELD;malhonest;malicious-shamir;3;0.17;18;1;8;0.15559;0.25;23;64;~76;3.55307;10.3387
31;FIELD;malhonest;malicious-shamir;3;0.18;18;1;10;0.113642;0.19;23;78;~90;3.56126;10.3632
31;FIELD;malhonest;malicious-shamir;3;0.17;18;1;12;0.153131;0.24;22;68;~104;3.56946;10.3876
31;FIELD;malhonest;malicious-shamir;3;0.17;18;1;14;0.116124;0.19;22;78;~118;3.57765;10.4121
31;RING;semihonest;replicated-ring;3;0.13;17;1;4;0.0319783;0.12;17;51;~113;0.401588;0.96394
31;RING;semihonest;replicated-ring;3;0.14;17;1;6;0.0358849;0.11;15;55;~129;0.401762;0.96443
31;RING;semihonest;replicated-ring;3;0.14;17;1;8;0.0396916;0.12;15;53;~145;0.401936;0.96492
31;RING;semihonest;replicated-ring;3;0.14;17;1;10;0.0379269;0.12;15;54;~161;0.40211;0.96541
31;RING;semihonest;replicated-ring;3;0.13;17;1;12;0.0412601;0.12;15;52;~177;0.402284;0.9659
31;RING;semihonest;replicated-ring;3;0.13;17;1;14;0.0408692;0.12;15;51;~193;0.402458;0.96639
31;BINARY;semihonest;ccd;3;0.30;22;1;4;0.0148312;0.06;10;73;NA;0.002648;NA
31;BINARY;semihonest;ccd;3;0.33;22;1;6;0.01882;0.06;10;75;NA;0.00394;NA
31;BINARY;semihonest;ccd;3;0.37;23;1;8;0.0241455;0.07;10;77;NA;0.005232;NA
31;BINARY;semihonest;ccd;3;0.42;23;1;10;0.0316745;0.08;10;78;NA;0.006524;NA
31;BINARY;semihonest;ccd;3;0.45;24;1;12;0.0397908;0.09;12;76;NA;0.007816;NA
31;BINARY;semihonest;ccd;3;0.49;25;1;14;0.0436975;0.09;12;79;NA;0.009108;NA
31;BINARY;semihonest;replicated-bin;3;0.30;22;1;4;0.0159304;0.06;11;56;NA;0.001348;NA
31;BINARY;semihonest;replicated-bin;3;0.33;22;1;6;0.0175322;0.06;9;51;NA;0.001994;NA
31;BINARY;semihonest;replicated-bin;3;0.37;23;1;8;0.0225702;0.07;9;51;NA;0.00264;NA
31;BINARY;semihonest;replicated-bin;3;0.42;23;1;10;0.0274947;0.07;9;60;NA;0.003286;NA
31;BINARY;semihonest;replicated-bin;3;0.45;24;1;12;0.0339963;0.08;11;54;NA;0.003932;NA
31;BINARY;semihonest;replicated-bin;3;0.49;25;1;14;0.041259;0.09;9;59;NA;0.004578;NA
31;BINARY;semidishonest;yao;2;0.30;22;1;4;0.0164302;0.04;11;48;NA;0.033216;NA
31;BINARY;semidishonest;yao;2;0.33;22;1;6;0.0164305;0.04;13;61;NA;0.049792;NA
31;BINARY;semidishonest;yao;2;0.37;23;1;8;0.0163993;0.04;11;63;NA;0.066368;NA
31;BINARY;semidishonest;yao;2;0.42;23;1;10;0.0167011;0.04;13;63;NA;0.082944;NA
31;BINARY;semidishonest;yao;2;0.45;24;1;12;0.016836;0.03;11;61;NA;0.09952;NA
31;BINARY;semidishonest;yao;2;0.49;25;1;14;0.0170877;0.04;11;62;NA;0.116096;NA
31;BINARY;semidishonest;yaoO;2;0.30;22;1;4;0.00200109;0.03;12;68;NA;0;NA
31;BINARY;semidishonest;yaoO;2;0.33;22;1;6;0.00185068;0.03;10;69;NA;0;NA
31;BINARY;semidishonest;yaoO;2;0.37;23;1;8;0.00211218;0.03;10;70;NA;0;NA
31;BINARY;semidishonest;yaoO;2;0.42;23;1;10;0.00190948;0.03;10;66;NA;0;NA
31;BINARY;semidishonest;yaoO;2;0.45;24;1;12;0.00231754;0.03;10;71;NA;0;NA
31;BINARY;semidishonest;yaoO;2;0.49;25;1;14;0.00224347;0.04;10;70;NA;0;NA
