program  c.domain  adv.model   protocol         partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
48       RING      semihonest  replicated-ring  3          1.87          94                 1                  1              10000       1.54201              1.68                 15            23         ~1001         0.080008        0.240024
48       RING      semihonest  replicated-ring  3          18.51         800                6                  1              100000      1.52061              1.80                 45            34         ~1001         0.800008        2.40002
48       RING      semihonest  replicated-ring  3          NA            NA                 NA                 2              10000       2.54498              2.75                 15            18         ~1001         0.080008        0.240024
48       RING      semihonest  replicated-ring  3          NA            NA                 NA                 2              100000      2.53709              2.87                 44            25         ~1001         0.800008        2.40002
48       RING      semihonest  replicated-ring  3          NA            NA                 NA                 4              10000       4.53517              4.89                 16            10         ~1001         0.080008        0.240024
48       RING      semihonest  replicated-ring  3          NA            NA                 NA                 4              100000      4.57173              5.07                 45            15         ~1001         0.800008        2.40002
48       RING      semihonest  replicated-ring  3          NA            NA                 NA                 8              10000       8.56372              9.15                 17            7          ~1001         0.080008        0.240024
48       RING      semihonest  replicated-ring  3          NA            NA                 NA                 8              100000      8.5781               9.31                 45            8          ~1001         0.800008        2.40002
48       RING      semihonest  replicated-ring  3          NA            NA                 NA                 10             10000       10.5644              11.27                15            6          ~1001         0.080008        0.240024
48       RING      semihonest  replicated-ring  3          NA            NA                 NA                 10             100000      10.5479              11.39                45            7          ~1001         0.800008        2.40002
48       RING      semihonest  replicated-ring  3          NA            NA                 NA                 20             10000       20.5822              21.82                17            3          ~1001         0.080008        0.240024
48       RING      semihonest  replicated-ring  3          NA            NA                 NA                 20             100000      20.5682              21.95                45            3          ~1001         0.800008        2.40002
48       RING      semihonest  replicated-ring  3          NA            NA                 NA                 30             10000       30.5911              32.35                15            2          ~1001         0.080008        0.240024
48       RING      semihonest  replicated-ring  3          NA            NA                 NA                 30             100000      30.5939              32.51                45            2          ~1001         0.800008        2.40002
48       RING      semihonest  replicated-ring  3          NA            NA                 NA                 40             10000       40.5943              42.89                15            1          ~1001         0.080008        0.240024
48       RING      semihonest  replicated-ring  3          NA            NA                 NA                 40             100000      40.6019              43.04                45            1          ~1001         0.800008        2.40002
48       RING      semihonest  replicated-ring  3          NA            NA                 NA                 50             10000       50.6033              53.43                15            1          ~1001         0.080008        0.240024
48       RING      semihonest  replicated-ring  3          NA            NA                 NA                 50             100000      50.6154              53.59                45            1          ~1001         0.800008        2.40002
48       RING      semihonest  replicated-ring  3          NA            NA                 NA                 60             10000       60.6232              63.98                16            1          ~1001         0.080008        0.240024
48       RING      semihonest  replicated-ring  3          NA            NA                 NA                 60             100000      60.6013              64.09                44            1          ~1001         0.800008        2.40002
