comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    4        512       71        1         0         5         10000     10000     0              1           0           1           1             .017820      NA          .172464           .503584             .527313            .544583              3400          809
0.02          3                  1                  0    4        512       71        1         0         5         10000     10000     25             1           0           1           1             .021440      NA          .165055           4.881705            4.891698           4.912083             4501          87
0.02          3                  1                  0    4        512       71        1         0         5         10000     10000     50             1           0           1           1             .020790      NA          .164135           9.631435            9.661572           9.682916             4566          43
0.02          3                  1                  0    4        512       71        1         0         5         10000     10000     75             1           0           1           1             .025255      NA          .165772           14.377305           14.419608          14.440833            4580          29
0.02          3                  1                  0    4        512       71        1         1         5         10000     10000     0              1           0           1           1             .015928      NA          .159615           .216839             .231967            .246250              3390          1663
0.02          3                  1                  0    4        512       71        1         1         5         10000     10000     25             1           0           1           1             .020222      NA          .149881           2.519733            2.529414           2.548333             4494          153
0.02          3                  1                  0    4        512       71        1         1         5         10000     10000     50             1           0           1           1             .023606      NA          .148871           4.936567            4.960049           4.977916             4579          77
0.02          3                  1                  0    4        512       71        1         1         5         10000     10000     75             1           0           1           1             .025249      NA          .148514           7.355989            7.415291           7.442916             4582          51
0.02          3                  1                  0    4        512       171       1         0         5         10000     10000     0              1           0           1           1             .020105      NA          .153752           .132025             .138545            .150416              3223          2633
0.02          3                  1                  0    4        512       171       1         0         5         10000     10000     25             1           0           1           1             .021942      NA          .151478           1.808447            1.817774           1.837500             4585          219
0.02          3                  1                  0    4        512       171       1         0         5         10000     10000     50             1           0           1           1             .022461      NA          .148073           3.607166            3.636865           3.656250             4688          105
0.02          3                  1                  0    4        512       171       1         0         5         10000     10000     75             1           0           1           1             .025424      NA          .150679           5.402414            5.433577           5.457916             4676          71
0.02          3                  1                  0    4        512       171       1         1         5         10000     10000     0              1           0           1           1             .019208      NA          .155504           .130325             .137080            .150416              3476          2681
0.02          3                  1                  0    4        512       171       1         1         5         10000     10000     25             1           0           1           1             .019862      NA          .147488           1.821222            1.831115           1.850000             4523          209
0.02          3                  1                  0    4        512       171       1         1         5         10000     10000     50             1           0           1           1             .020509      NA          .146286           3.630503            3.663910           3.682083             4592          104
0.02          3                  1                  0    4        512       171       1         1         5         10000     10000     75             1           0           1           1             .025345      NA          .145517           5.435552            5.469238           5.491666             4616          69
0.02          3                  1                  0    4        512       271       1         0         5         10000     10000     0              1           0           1           1             .010028      NA          .153497           .134999             .140917            .151666              3448          2594
