comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;bandwidths(Mbs);input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.50;280;1;0;1;32;59;1;0;5;10000;10000;100;300;0;0;16;.017770;NA;.020630;5.210504;5.210501;5.230000;4;0
2.59;288;1;0;1;32;59;1;0;5;10000;10000;100;300;1;0;16;.055047;.067052;.028187;5.383516;5.383514;5.500000;5;0
2.48;279;1;0;1;32;59;1;0;5;10000;10000;1000;300;0;0;16;.007502;NA;.035325;5.448439;5.448424;5.460000;4;0
2.61;289;1;0;1;32;59;1;0;5;10000;10000;1000;300;1;0;16;.018170;.007805;.025640;5.416220;5.416217;5.440000;5;0
2.51;279;1;0;1;32;59;1;0;5;10000;10000;10000;300;0;0;16;.018888;NA;.029558;5.732044;5.732036;5.750000;4;0
2.49;288;1;0;1;32;59;1;0;5;10000;10000;10000;300;1;0;16;.013601;.008986;.027698;5.403667;5.403663;5.430000;5;0
2.54;279;1;0;1;32;59;1;0;5;10000;10000;25000;300;0;0;16;.007574;NA;.035782;5.106334;5.106323;5.110000;4;0
2.62;290;1;0;1;32;59;1;0;5;10000;10000;25000;300;1;0;16;.013166;.007909;.020358;5.208652;5.208649;5.230000;5;0
2.50;281;1;0;1;32;60;1;0;5;10000;10000;100;300;0;0;16;.005154;NA;.026012;4.682444;4.682439;4.690000;5;0
2.55;291;1;0;1;32;60;1;0;5;10000;10000;100;300;1;0;16;.040927;.111847;.008234;4.569385;4.569382;4.720000;5;0
2.45;280;1;0;1;32;60;1;0;5;10000;10000;1000;300;0;0;16;.018318;NA;.022518;4.644291;4.644283;4.660000;4;0
2.49;292;1;0;1;32;60;1;0;5;10000;10000;1000;300;1;0;16;.014692;.011226;.007469;4.613558;4.613554;4.640000;5;0
2.53;280;1;0;1;32;60;1;0;5;10000;10000;10000;300;0;0;16;.007019;NA;.029355;4.671886;4.671867;4.680000;4;0
2.73;290;1;0;1;32;60;1;0;5;10000;10000;10000;300;1;0;16;.013749;.010296;.008383;4.647255;4.647252;4.670000;5;0
2.65;280;1;0;1;32;60;1;0;5;10000;10000;25000;300;0;0;16;.018487;NA;.023362;4.721926;4.721918;4.740000;4;0
2.53;290;1;0;1;32;60;1;0;5;10000;10000;25000;300;1;0;16;.013450;.010088;.008873;4.460911;4.460909;4.480000;5;0
2.84;302;1;0;1;32;61;1;0;5;10000;10000;100;300;0;0;16;.006116;NA;.026741;4.282529;4.282522;4.290000;5;0
3.00;312;1;0;1;32;61;1;0;5;10000;10000;100;300;1;0;16;.043219;.198482;.013133;4.280588;4.280582;4.520000;6;0
3.01;302;1;0;1;32;61;1;0;5;10000;10000;1000;300;0;0;16;.008458;NA;.027898;4.275170;4.275158;4.280000;4;0
2.90;313;1;0;1;32;61;1;0;5;10000;10000;1000;300;1;0;16;.027384;.016305;.006226;4.278379;4.278377;4.320000;6;0
2.86;303;1;0;1;32;61;1;0;5;10000;10000;10000;300;0;0;16;.008805;NA;.026119;4.281840;4.281829;4.290000;4;0
3.08;311;1;0;1;32;61;1;0;5;10000;10000;10000;300;1;0;16;.020085;.012440;.006051;4.276289;4.276286;4.310000;6;0
3.04;304;1;0;1;32;61;1;0;5;10000;10000;25000;300;0;0;16;.020087;NA;.024553;4.277432;4.277424;4.300000;4;0
3.06;312;1;0;1;32;61;1;0;5;10000;10000;25000;300;1;0;16;.025611;.012334;.006853;4.277938;4.277935;4.310000;6;0
