comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  bandwidths(Mbs)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.52          279                1                  0    1        32        59        1         0         5         10000     10000     100              300         0           0           16            .007553      NA          .033130           5.461259            5.461247           5.470000             5             0
2.68          288                1                  0    1        32        59        1         0         5         10000     10000     100              300         1           0           16            .038728      .078746     .029792           5.105187            5.105185           5.220000             5             0
2.37          280                1                  0    1        32        59        1         0         5         10000     10000     100              300         0           0           16            .007371      NA          .027753           5.356711            5.356706           5.360000             5             0
2.49          289                1                  0    1        32        59        1         0         5         10000     10000     100              300         1           0           16            .039199      .075479     .021527           5.495182            5.495177           5.610000             5             0
2.34          280                1                  0    1        32        59        1         0         5         10000     10000     100              300         0           0           16            .007567      NA          .028753           5.248975            5.248962           5.260000             4             0
2.65          289                1                  0    1        32        59        1         0         5         10000     10000     100              300         1           0           16            .040470      .073713     .024444           5.555084            5.555080           5.670000             4             0
2.32          278                1                  0    1        32        59        1         0         5         10000     10000     100              300         0           0           16            .005640      NA          .030893           5.627748            5.627736           5.630000             5             0
2.48          290                1                  0    1        32        59        1         0         5         10000     10000     100              300         1           0           16            .049186      .073179     .031275           5.094891            5.094888           5.220000             5             0
2.35          279                1                  0    1        32        59        1         0         5         10000     10000     100              300         0           0           16            .007512      NA          .031150           5.090202            5.090184           5.100000             4             0
2.50          291                1                  0    1        32        59        1         0         5         10000     10000     100              300         1           0           16            .041981      .073513     .032310           5.215003            5.215001           5.330000             5             0
2.35          282                1                  0    1        32        59        1         0         5         10000     10000     1000             300         0           0           16            .007445      NA          .037265           5.118946            5.118933           5.130000             4             0
2.72          288                1                  0    1        32        59        1         0         5         10000     10000     1000             300         1           0           16            .019049      .008675     .022144           5.464925            5.464921           5.490000             5             0
2.50          279                1                  0    1        32        59        1         0         5         10000     10000     1000             300         0           0           16            .007195      NA          .036284           5.250664            5.250659           5.260000             4             0
2.62          290                1                  0    1        32        59        1         0         5         10000     10000     1000             300         1           0           16            .013909      .008244     .022485           5.437407            5.437404           5.460000             5             0
2.48          280                1                  0    1        32        59        1         0         5         10000     10000     1000             300         0           0           16            .012871      NA          .036040           5.482331            5.482320           5.490000             4             0
2.85          289                1                  0    1        32        59        1         0         5         10000     10000     1000             300         1           0           16            .013957      .008284     .023127           5.360212            5.360209           5.380000             5             0
