comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  packetdrops(%)  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.33          279                1                  0    1        32        59        1         0         5         10000     10000     0              25000            300         0           0           0               16            .007648      NA          .034982           5.294193            5.294172           5.300000             4             0
2.37          279                1                  0    1        32        59        1         0         5         10000     10000     0              25000            300         0           0           0               16            .007646      NA          .041142           5.191924            5.191911           5.200000             4             0
2.33          279                1                  0    1        32        59        1         0         5         10000     10000     0              25000            300         0           0           0               16            .007432      NA          .037250           5.527042            5.527030           5.530000             4             0
2.50          280                1                  0    1        32        59        1         0         5         10000     10000     0              25000            300         0           0           0               16            .007527      NA          .039066           5.056260            5.056248           5.060000             4             0
2.52          280                1                  0    1        32        59        1         0         5         10000     10000     0              25000            300         0           0           0               16            .004650      NA          .036660           5.497133            5.497121           5.500000             9             0
2.34          278                1                  0    1        32        59        1         0         5         10000     10000     0              25000            300         0           0           1               16            .018197      NA          .029391           30.904998           30.904990          30.920000            4             0
2.54          280                1                  0    1        32        59        1         0         5         10000     10000     0              25000            300         0           0           1               16            .007122      NA          .040031           31.591760           31.591747          31.600000            4             0
2.37          279                1                  0    1        32        59        1         0         5         10000     10000     0              25000            300         0           0           1               16            .018213      NA          .030221           32.131492           32.131483          32.150000            4             0
2.33          279                1                  0    1        32        59        1         0         5         10000     10000     0              25000            300         0           0           1               16            .008115      NA          .035590           35.255660           35.255655          35.260000            4             0
2.31          279                1                  0    1        32        59        1         0         5         10000     10000     0              25000            300         0           0           1               16            .006034      NA          .034995           35.798901           35.798890          35.800000            4             0
2.61          280                1                  0    1        32        59        1         0         5         10000     10000     0              25000            300         0           0           2               16            .007482      NA          .029636           62.214230           62.214217          62.220000            5             0
2.38          279                1                  0    1        32        59        1         0         5         10000     10000     0              25000            300         0           0           2               16            .004631      NA          .036869           58.424486           58.424481          58.430000            4             0
2.53          279                1                  0    1        32        59        1         0         5         10000     10000     0              25000            300         0           0           2               16            .007804      NA          .037551           61.848383           61.848378          61.860000            4             0
2.32          279                1                  0    1        32        59        1         0         5         10000     10000     0              25000            300         0           0           2               16            1.036647     NA          .063769           64.213417           64.213406          65.250000            4             0
2.35          280                1                  0    1        32        59        1         0         5         10000     10000     0              25000            300         0           0           2               16            .007306      NA          .037012           66.292814           66.292802          66.300000            4             0
