comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.34;279;1;0;1;32;59;1;0;5;10000;10000;0;100;300;0;0;0;16;.004971;NA;.029979;5.263742;5.263737;5.270000;4;0
2.62;290;1;0;1;32;59;1;0;5;10000;10000;0;100;300;1;0;0;16;.057349;.050918;.032318;5.813610;5.813606;5.920000;4;0
2.60;280;1;0;1;32;59;1;0;5;10000;10000;0;1000;300;0;0;0;16;.012741;NA;.035412;5.513770;5.513759;5.530000;4;0
2.67;290;1;0;1;32;59;1;0;5;10000;10000;0;1000;300;1;0;0;16;.015047;.010496;.021468;5.259581;5.259579;5.290000;4;0
2.45;280;1;0;1;32;59;1;0;5;10000;10000;0;10000;300;0;0;0;16;.008059;NA;.034638;5.127756;5.127751;5.140000;4;0
2.53;289;1;0;1;32;59;1;0;5;10000;10000;0;10000;300;1;0;0;16;.013185;.007120;.016541;5.353106;5.353104;5.370000;4;0
2.35;279;1;0;1;32;59;1;0;5;10000;10000;0;25000;300;0;0;0;16;.007981;NA;.035013;5.474292;5.474287;5.480000;4;0
2.47;289;1;0;1;32;59;1;0;5;10000;10000;0;25000;300;1;0;0;16;.013374;.007438;.020961;4.843959;4.843956;4.860000;4;0
2.37;280;1;0;1;32;59;1;0;5;10000;10000;25;100;300;0;0;0;16;.081314;NA;.034628;181.920375;181.920364;182.000000;4;0
2.69;289;1;0;1;32;59;1;0;5;10000;10000;25;100;300;1;0;0;16;.216346;.319230;.037301;181.934847;181.934842;182.470000;4;0
2.65;280;1;0;1;32;59;1;0;5;10000;10000;25;1000;300;0;0;0;16;.088454;NA;.042457;181.933134;181.933116;182.020000;5;0
2.63;288;1;0;1;32;59;1;0;5;10000;10000;25;1000;300;1;0;0;16;.237408;.208577;.040255;180.682674;180.682669;181.130000;5;0
2.33;280;1;0;1;32;59;1;0;5;10000;10000;25;10000;300;0;0;0;16;.079315;NA;.050434;181.810996;181.810991;181.890000;5;0
2.65;289;1;0;1;32;59;1;0;5;10000;10000;25;10000;300;1;0;0;16;.230714;.207211;.030379;181.885967;181.885963;182.320000;4;0
2.50;280;1;0;1;32;59;1;0;5;10000;10000;25;25000;300;0;0;0;16;.075310;NA;.040518;181.931720;181.931709;182.010000;5;0
2.69;288;1;0;1;32;59;1;0;5;10000;10000;25;25000;300;1;0;0;16;.229235;.208002;.040512;181.931177;181.931172;182.370000;4;0
2.38;280;1;0;1;32;59;1;0;5;10000;10000;50;100;300;0;0;0;16;.158268;NA;.050131;362.117764;362.117745;362.280000;5;0
2.55;289;1;0;1;32;59;1;0;5;10000;10000;50;100;300;1;0;0;16;.555519;.320082;.039873;362.105681;362.105676;362.980000;4;0
2.47;280;1;0;1;32;59;1;0;5;10000;10000;50;1000;300;0;0;0;16;.157120;NA;.052305;361.807956;361.807951;361.960000;4;0
2.59;288;1;0;1;32;59;1;0;5;10000;10000;50;1000;300;1;0;0;16;.461511;.411412;.041157;361.807941;361.807936;362.680000;4;0
2.56;279;1;0;1;32;59;1;0;5;10000;10000;50;10000;300;0;0;0;16;.157729;NA;.041942;361.819357;361.819352;361.980000;4;0
2.48;290;1;0;1;32;59;1;0;5;10000;10000;50;10000;300;1;0;0;16;.454632;.408335;.038938;361.806301;361.806296;362.670000;5;0
2.33;279;1;0;1;32;59;1;0;5;10000;10000;50;25000;300;0;0;0;16;.153000;NA;.051304;361.806497;361.806486;361.960000;4;0
2.62;289;1;0;1;32;59;1;0;5;10000;10000;50;25000;300;1;0;0;16;.362494;.510765;.038650;361.811969;361.811964;362.690000;4;0
2.50;279;1;0;1;32;59;1;0;5;10000;10000;75;100;300;0;0;0;16;.232244;NA;.047426;541.656173;541.656153;541.890000;5;0
2.48;288;1;0;1;32;59;1;0;5;10000;10000;75;100;300;1;0;0;16;.709666;.617555;.043278;541.664002;541.663996;542.990000;4;0
2.52;282;1;0;1;32;59;1;0;5;10000;10000;75;1000;300;0;0;0;16;.232187;NA;.052051;541.657506;541.657485;541.890000;5;0
2.48;289;1;0;1;32;59;1;0;5;10000;10000;75;1000;300;1;0;0;16;.685856;.608622;.040463;541.659700;541.659695;542.950000;5;0
2.46;280;1;0;1;32;59;1;0;5;10000;10000;75;10000;300;0;0;0;16;.226034;NA;.043955;541.649114;541.649094;541.880000;5;0
