comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;512;71;1;0;12;10000;10000;1;0;1;1;;NA;;;;20.876250;50;40
0.02;3;1;0;4;512;71;1;1;12;10000;10000;1;0;1;1;;NA;;;;20.875833;50;39
0.02;3;1;0;4;512;171;1;0;12;10000;10000;1;0;1;1;;NA;;;;20.876250;49;40
0.02;3;1;0;4;512;171;1;1;12;10000;10000;1;0;1;1;;NA;;;;20.876250;49;39
0.02;3;1;0;4;512;271;1;0;12;10000;10000;1;0;1;1;;NA;;;;20.876250;49;40
0.03;3;1;0;4;512;271;1;1;12;10000;10000;1;0;1;1;;NA;;;;20.875833;49;40
0.02;3;1;0;4;512;74;1;0;12;10000;10000;1;0;1;1;;NA;;;;20.875833;31;40
0.02;3;1;0;4;512;74;1;1;12;10000;10000;1;0;1;1;;NA;;;;20.876250;32;40
0.02;3;1;0;4;512;174;1;0;12;10000;10000;1;0;1;1;;NA;;;;20.876250;31;39
0.02;3;1;0;4;512;174;1;1;12;10000;10000;1;0;1;1;;NA;;;;20.875833;33;39
0.03;3;1;0;4;512;274;1;0;12;10000;10000;1;0;1;1;;NA;;;;20.876250;33;40
0.02;3;1;0;4;512;274;1;1;12;10000;10000;1;0;1;1;;NA;;;;20.875833;32;39
