comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.01;3;1;0;4;256;404;1;0;5;10000;10000;80;200;10;0;1;2;.010449;NA;.000200;.141452;.210338;.220833;3;3
0.02;3;1;0;4;256;404;1;0;5;10000;10000;80;200;100;0;1;2;.009677;NA;.000185;.141893;.211259;.220833;3;3
0.02;3;1;0;4;256;404;1;0;5;10000;10000;80;200;1000;0;1;2;.009992;NA;.000211;.146895;.214588;.224583;4;3
0.02;3;1;0;4;256;404;1;0;5;10000;10000;80;200;10000;0;1;2;.010425;NA;.000584;.173400;.241796;.252500;6;6
0.03;3;1;0;4;256;404;1;0;5;10000;10000;80;200;100000;0;1;2;.009740;NA;.003280;.332844;.544761;.554583;31;14
0.02;3;1;0;4;256;404;1;0;5;10000;10000;80;200;1000000;0;1;2;.011142;NA;.022839;2.318230;3.532795;3.543750;284;15
0.02;3;1;0;4;256;404;1;0;5;10000;10000;80;200;10;0;1;2;.010085;NA;.000171;.141599;.210624;.220833;3;3
0.03;3;1;0;4;256;404;1;0;5;10000;10000;80;200;100;0;1;2;.009810;NA;.000186;.141833;.210994;.220833;3;3
0.01;3;1;0;4;256;404;1;0;5;10000;10000;80;200;1000;0;1;2;.009650;NA;.000214;.146965;.214692;.224583;4;3
0.01;3;1;0;4;256;404;1;0;5;10000;10000;80;200;10000;0;1;2;.009920;NA;.000575;.173931;.241843;.251666;6;6
0.03;3;1;0;4;256;404;1;0;5;10000;10000;80;200;100000;0;1;2;.010379;NA;.003191;.334728;.603476;.613750;31;13
0.03;3;1;0;4;256;404;1;0;5;10000;10000;80;200;1000000;0;1;2;.011050;NA;.023577;2.313999;3.486191;3.497083;284;16
0.01;3;1;0;4;256;404;1;0;5;10000;10000;80;200;10;0;1;2;.010416;NA;.000186;.141570;.210894;.221250;3;3
0.02;3;1;0;4;256;404;1;0;5;10000;10000;80;200;100;0;1;2;.009996;NA;.000191;.141665;.210955;.221250;3;3
0.01;3;1;0;4;256;404;1;0;5;10000;10000;80;200;1000;0;1;2;.010384;NA;.000226;.146853;.214511;.225000;4;3
0.03;3;1;0;4;256;404;1;0;5;10000;10000;80;200;10000;0;1;2;.009978;NA;.000587;.172956;.242091;.252083;6;6
0.02;3;1;0;4;256;404;1;0;5;10000;10000;80;200;100000;0;1;2;.010232;NA;.003315;.330544;.634405;.644583;32;12
0.02;3;1;0;4;256;404;1;0;5;10000;10000;80;200;1000000;0;1;2;.011058;NA;.023666;2.503233;3.582482;3.592916;285;16
0.01;3;1;0;4;256;404;1;0;5;10000;10000;80;200;10;0;1;2;.009993;NA;.000175;.141572;.210627;.220833;3;3
0.02;3;1;0;4;256;404;1;0;5;10000;10000;80;200;100;0;1;2;.009684;NA;.000175;.141969;.211347;.221250;3;3
0.02;3;1;0;4;256;404;1;0;5;10000;10000;80;200;1000;0;1;2;.010459;NA;.000231;.146943;.214628;.225000;4;3
0.02;3;1;0;4;256;404;1;0;5;10000;10000;80;200;10000;0;1;2;.010169;NA;.000595;.173948;.242387;.252500;6;6
0.01;3;1;0;4;256;404;1;0;5;10000;10000;80;200;100000;0;1;2;.010454;NA;.003268;.307861;.741119;.751666;31;10
0.01;3;1;0;4;256;404;1;0;5;10000;10000;80;200;1000000;0;1;2;.010760;NA;.023131;2.276778;3.324054;3.334583;284;17
0.02;3;1;0;4;256;404;1;0;5;10000;10000;80;200;10;0;1;2;.010336;NA;.000197;.141492;.210478;.220833;3;3
0.02;3;1;0;4;256;404;1;0;5;10000;10000;80;200;100;0;1;2;.009689;NA;.000191;.141943;.211282;.221250;3;3
0.01;3;1;0;4;256;404;1;0;5;10000;10000;80;200;1000;0;1;2;.010024;NA;.000245;.146861;.214506;.224583;4;3
0.01;3;1;0;4;256;404;1;0;5;10000;10000;80;200;10000;0;1;2;.010136;NA;.000585;.173815;.244504;.254583;6;6
0.02;3;1;0;4;256;404;1;0;5;10000;10000;80;200;100000;0;1;2;.010017;NA;.003217;.351000;.615716;.625833;31;12
0.02;3;1;0;4;256;404;1;0;5;10000;10000;80;200;1000000;0;1;2;.010293;NA;.022643;2.322752;3.428313;3.438333;284;16
0.02;3;1;0;4;256;404;1;1;5;10000;10000;80;200;10;0;1;2;.009715;NA;.000072;.034834;.050686;.060416;3;6
0.02;3;1;0;4;256;404;1;1;5;10000;10000;80;200;100;0;1;2;.010437;NA;.000078;.034415;.049873;.060416;3;6
0.02;3;1;0;4;256;404;1;1;5;10000;10000;80;200;1000;0;1;2;.009968;NA;.000107;.037083;.054032;.064166;4;7
0.01;3;1;0;4;256;404;1;1;5;10000;10000;80;200;10000;0;1;2;.009712;NA;.000352;.055925;.073983;.083750;5;13
0.02;3;1;0;4;256;404;1;1;5;10000;10000;80;200;100000;0;1;2;.009892;NA;.002430;.257232;.460040;.470000;22;13
0.02;3;1;0;4;256;404;1;1;5;10000;10000;80;200;1000000;0;1;2;.010699;NA;.016636;1.320407;2.316418;2.327083;218;17
0.01;3;1;0;4;256;404;1;1;5;10000;10000;80;200;10;0;1;2;.010333;NA;.000080;.034475;.050054;.060416;3;7
0.01;3;1;0;4;256;404;1;1;5;10000;10000;80;200;100;0;1;2;.009797;NA;.000085;.034763;.050464;.060416;3;7
0.02;3;1;0;4;256;404;1;1;5;10000;10000;80;200;1000;0;1;2;.009705;NA;.000106;.037051;.053812;.063750;4;8
0.01;3;1;0;4;256;404;1;1;5;10000;10000;80;200;10000;0;1;2;.009764;NA;.000354;.057079;.079668;.089583;5;12
0.01;3;1;0;4;256;404;1;1;5;10000;10000;80;200;100000;0;1;2;.010452;NA;.002464;.218023;.464417;.475000;22;13
0.01;3;1;0;4;256;404;1;1;5;10000;10000;80;200;1000000;0;1;2;.010056;NA;.016151;1.280440;2.293219;2.303333;218;17
0.02;3;1;0;4;256;404;1;1;5;10000;10000;80;200;10;0;1;2;.010089;NA;.000078;.034550;.050139;.060416;3;7
0.02;3;1;0;4;256;404;1;1;5;10000;10000;80;200;100;0;1;2;.010489;NA;.000080;.034396;.049840;.060416;3;7
0.03;3;1;0;4;256;404;1;1;5;10000;10000;80;200;1000;0;1;2;.010007;NA;.000110;.037049;.053865;.064166;4;8
0.03;3;1;0;4;256;404;1;1;5;10000;10000;80;200;10000;0;1;2;.010398;NA;.000361;.056376;.075521;.085833;5;12
0.01;3;1;0;4;256;404;1;1;5;10000;10000;80;200;100000;0;1;2;.009719;NA;.002390;.217312;.438335;.448333;22;13
0.03;3;1;0;4;256;404;1;1;5;10000;10000;80;200;1000000;0;1;2;.010812;NA;.016149;1.394687;2.151615;2.162500;219;18
0.02;3;1;0;4;256;404;1;1;5;10000;10000;80;200;10;0;1;2;.009828;NA;.000071;.034752;.050460;.060416;3;6
0.01;3;1;0;4;256;404;1;1;5;10000;10000;80;200;100;0;1;2;.010051;NA;.000082;.034626;.050440;.060416;3;7
0.02;3;1;0;4;256;404;1;1;5;10000;10000;80;200;1000;0;1;2;.010418;NA;.000108;.036947;.053869;.064583;4;7
0.01;3;1;0;4;256;404;1;1;5;10000;10000;80;200;10000;0;1;2;.010071;NA;.000353;.055794;.076209;.086250;5;12
0.01;3;1;0;4;256;404;1;1;5;10000;10000;80;200;100000;0;1;2;.009929;NA;.002422;.237994;.473178;.483333;22;12
0.02;3;1;0;4;256;404;1;1;5;10000;10000;80;200;1000000;0;1;2;.010875;NA;.016073;1.387091;2.168647;2.179583;219;18
0.03;3;1;0;4;256;404;1;1;5;10000;10000;80;200;10;0;1;2;.010354;NA;.000077;.034532;.050444;.060833;9;7
0.01;3;1;0;4;256;404;1;1;5;10000;10000;80;200;100;0;1;2;.010422;NA;.000078;.034524;.050417;.060833;3;6
0.01;3;1;0;4;256;404;1;1;5;10000;10000;80;200;1000;0;1;2;.009974;NA;.000106;.037000;.053816;.063750;4;7
0.01;3;1;0;4;256;404;1;1;5;10000;10000;80;200;10000;0;1;2;.010031;NA;.000363;.056578;.076791;.087083;5;13
0.01;3;1;0;4;256;404;1;1;5;10000;10000;80;200;100000;0;1;2;.010156;NA;.002395;.223520;.484238;.494583;23;12
0.02;3;1;0;4;256;404;1;1;5;10000;10000;80;200;1000000;0;1;2;.010065;NA;.016473;1.445482;2.185623;2.195833;221;18
0.03;3;1;0;4;256;405;1;0;5;10000;10000;80;200;10;0;1;2;.010388;NA;.000075;.030001;.043237;.053750;3;7
0.02;3;1;0;4;256;405;1;0;5;10000;10000;80;200;100;0;1;2;.009729;NA;.000083;.030378;.043895;.053750;3;8
0.02;3;1;0;4;256;405;1;0;5;10000;10000;80;200;1000;0;1;2;.010505;NA;.000139;.040732;.053891;.064583;4;8
