comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     1              2500             10          0           1           2             .000437      NA          .000051           .001886             .002896            .003333              3             96
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     1              2500             100         0           1           2             .000719      NA          .000063           .001848             .002730            .003333              3             97
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     1              2500             1000        0           1           2             .000364      NA          .000072           .001897             .002761            .003333              4             113
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     1              2500             10000       0           1           2             .000375      NA          .000298           .002886             .004356            .005000              6             193
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     1              2500             100000      0           1           2             .000629      NA          .002163           .013492             .018936            .019583              31            281
0.03          3                  1                  0    4        256       404       1         0         5         10000     10000     1              2500             1000000     0           1           2             .000949      NA          .015273           .130428             .173350            .174166              279           216
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     1              2500             10          0           1           2             .000589      NA          .000049           .001887             .002767            .003333              3             89
0.03          3                  1                  0    4        256       404       1         0         5         10000     10000     1              2500             100         0           1           2             .000746      NA          .000050           .001899             .002841            .003750              3             82
0.03          3                  1                  0    4        256       404       1         0         5         10000     10000     1              2500             1000        0           1           2             .000352      NA          .000061           .001910             .002823            .003333              4             97
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     1              2500             10000       0           1           2             .000711      NA          .000233           .002942             .004128            .005000              6             154
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     1              2500             100000      0           1           2             .000719      NA          .001995           .013908             .016768            .017500              31            292
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     1              2500             1000000     0           1           2             .000949      NA          .015247           .126862             .167095            .167916              272           224
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     1              2500             10          0           1           2             .000371      NA          .000051           .001799             .002650            .002916              3             108
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     1              2500             100         0           1           2             .000326      NA          .000052           .001859             .002773            .003333              4             97
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     1              2500             1000        0           1           2             .000331      NA          .000084           .001909             .002770            .003333              4             124
