program  protocol     partysize  input_size  runtime_internal(ms)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  ALLdataSent(MB)  AllDataRec(MB)  ALLmessagesSent  AllMessagesRec  multTripPresetup  multTripSetup  sharedPowerPresetup  sharedPowerSetup  sharedBitPresetup  sharedBitSetup  baseOT  otExtension  kk13OtExtension  preprocessingTime  gatesSetup  gatesOnline
BitAnd   boolean_gmw  4          10000       6797.843              12.42                6775          152        157.384          157.384         392              392             714.069           1774.372       0.000                0.000             0.000              0.000           0.000   Setup        Extension        6051.482           0.004       739.350
BitAnd   boolean_gmw  4          10000       6852.914              12.38                6734          148        157.384          157.384         392              392             606.265           1703.595       0.000                0.000             0.000              0.000           0.000   Setup        Extension        5899.374           0.004       942.820
BitAnd   boolean_gmw  4          10000       6570.861              12.11                6855          172        157.384          157.384         392              392             1030.018          1775.054       0.000                0.000             0.000              0.000           0.000   Setup        Extension        6543.205           0.004       15.953
BitAnd   boolean_gmw  4          10000       6948.918              12.30                6793          175        157.384          157.384         392              392             915.808           1803.509       0.000                0.000             0.000              0.000           0.000   Setup        Extension        6901.025           0.004       27.384
BitAnd   boolean_gmw  4          10000       7356.535              12.87                6843          131        157.384          157.384         392              392             913.142           2304.844       0.000                0.000             0.000              0.000           0.000   Setup        Extension        6364.152           0.006       979.434
BitAnd   boolean_gmw  4          10000       6852.007              12.37                6761          162        157.384          157.384         392              392             720.738           1580.497       0.000                0.000             0.000              0.000           0.000   Setup        Extension        5986.063           0.005       854.300
BitAnd   boolean_gmw  4          10000       6850.893              12.20                6734          167        157.384          157.384         392              392             876.949           1711.304       0.000                0.000             0.000              0.000           0.000   Setup        Extension        6807.508           0.005       29.580
BitAnd   boolean_gmw  4          10000       5971.233              11.33                6792          149        157.384          157.384         392              392             1037.555          1792.138       0.000                0.000             0.000              0.000           0.000   Setup        Extension        5643.526           0.005       314.930
BitAnd   boolean_gmw  4          10000       6670.731              12.02                6800          146        157.384          157.384         392              392             1032.458          1543.279       0.000                0.000             0.000              0.000           0.000   Setup        Extension        5765.719           0.005       886.882
BitAnd   boolean_gmw  4          10000       6388.048              11.82                6667          154        157.384          157.384         392              392             634.614           1344.114       0.000                0.000             0.000              0.000           0.000   Setup        Extension        5438.782           0.005       941.550
