program  protocol     partysize  input_size  runtime_internal(ms)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  ALLdataSent(MB)  AllDataRec(MB)  ALLmessagesSent  AllMessagesRec
BitAnd   boolean_gmw  4          10000       6797.843              12.42                6775          152        157.384          157.384         392              392
BitAnd   boolean_gmw  4          10000       6852.914              12.38                6734          148        157.384          157.384         392              392
BitAnd   boolean_gmw  4          10000       6570.861              12.11                6855          172        157.384          157.384         392              392
BitAnd   boolean_gmw  4          10000       6948.918              12.30                6793          175        157.384          157.384         392              392
BitAnd   boolean_gmw  4          10000       7356.535              12.87                6843          131        157.384          157.384         392              392
BitAnd   boolean_gmw  4          10000       6852.007              12.37                6761          162        157.384          157.384         392              392
BitAnd   boolean_gmw  4          10000       6850.893              12.20                6734          167        157.384          157.384         392              392
BitAnd   boolean_gmw  4          10000       5971.233              11.33                6792          149        157.384          157.384         392              392
BitAnd   boolean_gmw  4          10000       6670.731              12.02                6800          146        157.384          157.384         392              392
BitAnd   boolean_gmw  4          10000       6388.048              11.82                6667          154        157.384          157.384         392              392
