program;protocol;partysize;input_size;runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec;multTripPresetup;multTripSetup;sharedPowerPresetup;sharedPowerSetup;sharedBitPresetup;sharedBitSetup;baseOT;otExtension;kk13OtExtension;preprocessingTime;gatesSetup;gatesOnline
BitAnd;boolean_gmw;3;10000;4810.610;9.52;4518;113;157.384;157.384;392;392;633.398;1102.661;0.000;0.000;0.000;0.000;0.000;Setup;Extension;4403.808;0.003;395.106
BitAnd;boolean_gmw;3;10000;4258.185;9.02;4456;107;157.384;157.384;392;392;429.104;988.509;0.000;0.000;0.000;0.000;0.000;Setup;Extension;3872.971;0.004;375.006
BitAnd;boolean_gmw;3;10000;4235.852;8.82;4469;125;157.384;157.384;392;392;483.127;1169.702;0.000;0.000;0.000;0.000;0.000;Setup;Extension;4201.516;0.006;22.617
BitAnd;boolean_gmw;3;10000;4538.904;9.40;4449;126;157.384;157.384;392;392;714.655;1163.467;0.000;0.000;0.000;0.000;0.000;Setup;Extension;4511.089;0.006;16.262
BitAnd;boolean_gmw;3;10000;4456.014;8.68;4460;131;157.384;157.384;392;392;706.671;887.277;0.000;0.000;0.000;0.000;0.000;Setup;Extension;4435.557;0.004;12.272
BitAnd;boolean_gmw;3;10000;4827.724;9.59;4572;107;157.384;157.384;392;392;712.884;1387.849;0.000;0.000;0.000;0.000;0.000;Setup;Extension;4424.654;0.005;383.060
BitAnd;boolean_gmw;3;10000;4338.316;5.94;4527;183;157.384;157.384;392;392;607.030;1199.791;0.000;0.000;0.000;0.000;0.000;Setup;Extension;4206.074;0.005;119.066
BitAnd;boolean_gmw;3;10000;4522.054;9.29;4510;120;157.384;157.384;392;392;471.267;1178.893;0.000;0.000;0.000;0.000;0.000;Setup;Extension;4248.251;0.005;263.951
BitAnd;boolean_gmw;3;10000;4712.756;9.47;4453;114;157.384;157.384;392;392;614.051;1197.188;0.000;0.000;0.000;0.000;0.000;Setup;Extension;4302.341;0.005;395.378
BitAnd;boolean_gmw;3;10000;4397.977;9.08;4516;127;157.384;157.384;392;392;572.483;1167.063;0.000;0.000;0.000;0.000;0.000;Setup;Extension;4346.776;0.005;38.486
