comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  packetdrops(%)  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     0              25000            1           0           1           0               1             .000427      NA          .000137           .000182             .000261            .000833              6             869
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     0              25000            1           0           1           0               1             .000409      NA          .000116           .000213             .000306            .000833              6             791
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     0              25000            1           0           1           0               1             .000941      NA          .000081           .000233             .000332            .001250              6             477
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     0              25000            1           0           1           0               1             .000420      NA          .000107           .000195             .000328            .000833              6             845
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     0              25000            1           0           1           0               1             .000305      NA          .000137           .000217             .000295            .000833              6             900
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     0              25000            1           0           1           0               1             .000576      NA          .000123           .000239             .000380            .000833              6             715
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     0              25000            1           0           1           0               1             .000771      NA          .000118           .000175             .000325            .000833              6             644
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     0              25000            1           0           1           0               1             .000619      NA          .000141           .000198             .000254            .000833              6             769
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     0              25000            1           0           1           0               1             .000353      NA          .000126           .000167             .000249            .000833              6             890
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     0              25000            1           0           1           0               1             .000401      NA          .000115           .000148             .000271            .000833              6             775
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     0              10000            1           0           1           0               1             .000399      NA          .000128           .000164             .000235            .000833              6             947
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     0              10000            1           0           1           0               1             .001028      NA          .000124           .000206             .000335            .001250              6             565
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     0              10000            1           0           1           0               1             .000362      NA          .000116           .000144             .000250            41.666666            6             0
