comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  bandwidths(Mbs)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    4        512       529       1         0         5         10000     10000     25000            1           0           1           1             .006868      NA          .031669           .921524             .968601            .972916              109           89
0.02          3                  1                  0    4        512       529       1         0         5         10000     10000     25000            1           0           1           1             .006935      NA          .034367           .808851             1.149948           1.157500             111           79
0.02          3                  1                  0    4        512       529       1         0         5         10000     10000     25000            1           0           1           1             .007140      NA          .031895           .935599             1.175327           1.182500             112           76
0.02          3                  1                  0    4        512       529       1         0         5         10000     10000     25000            1           0           1           1             .007003      NA          .032999           .923489             .965940            .970416              109           92
0.02          3                  1                  0    4        512       529       1         0         5         10000     10000     25000            1           0           1           1             .007194      NA          .034219           .776483             .934896            .942083              108           97
0.02          3                  1                  0    4        512       529       1         0         5         10000     10000     25000            1           0           1           1             .006959      NA          .032237           .449885             .680926            .687083              111           128
0.02          3                  1                  0    4        512       529       1         0         5         10000     10000     25000            1           0           1           1             .006959      NA          .033001           .664388             .902801            .907500              109           98
0.02          3                  1                  0    4        512       529       1         0         5         10000     10000     25000            1           0           1           1             .006910      NA          .033828           .929495             1.150620           1.155000             108           79
0.02          3                  1                  0    4        512       529       1         0         5         10000     10000     25000            1           0           1           1             .004232      NA          .032691           .921775             .924664            .929166              111           95
0.02          3                  1                  0    4        512       529       1         0         5         10000     10000     25000            1           0           1           1             .007222      NA          .031779           .923096             .966276            .973333              110           90
0.02          3                  1                  0    4        512       529       1         0         5         10000     10000     10000            1           0           1           1             .007223      NA          .033019           .795390             .969709            .974166              113           92
0.02          3                  1                  0    4        512       529       1         0         5         10000     10000     10000            1           0           1           1             .004372      NA          .033281           .931719             1.078311           1.082500             109           83
0.02          3                  1                  0    4        512       529       1         0         5         10000     10000     10000            1           0           1           1             .007019      NA          .034456           .927838             .953024            .957500              109           97
0.02          3                  1                  0    4        512       529       1         0         5         10000     10000     10000            1           0           1           1             .006864      NA          .032642           .877747             .969483            .973750              109           92
0.01          3                  1                  0    4        512       529       1         0         5         10000     10000     10000            1           0           1           1             .007160      NA          .033590           .702128             .925803            .930416              110           97
0.02          3                  1                  0    4        512       529       1         0         5         10000     10000     10000            1           0           1           1             .007024      NA          .032230           .568554             .910162            .914583              111           96
0.02          3                  1                  0    4        512       529       1         0         5         10000     10000     10000            1           0           1           1             .006790      NA          .032825           .772561             .970101            .976250              113           90
0.02          3                  1                  0    4        512       529       1         0         5         10000     10000     10000            1           0           1           1             .006966      NA          .033506           .910042             .964358            .969166              108           93
0.02          3                  1                  0    4        512       529       1         0         5         10000     10000     10000            1           0           1           1             .007473      NA          .034433           .934224             .999370            1.004166             109           92
0.02          3                  1                  0    4        512       529       1         0         5         10000     10000     10000            1           0           1           1             .007003      NA          .035275           .783618             .975343            .980000              107           96
0.02          3                  1                  0    4        512       529       1         0         5         10000     10000     1000             1           0           1           1             .007357      NA          .039341           1.010478            1.061034           1.066250             122           98
0.02          3                  1                  0    4        512       529       1         0         5         10000     10000     1000             1           0           1           1             .007536      NA          .042906           1.013512            1.100407           1.105000             118           103
