comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;bandwidths(Mbs);input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
4.23;365;1;0;1;32;532;1;0;5;10000;10000;25000;1;0;0;16;96.533686;NA;107.859872;186.865232;186.865228;283.410000;1273;72
4.11;369;1;0;1;32;532;1;0;5;10000;10000;25000;1;0;0;16;96.545109;NA;107.871772;190.420091;190.420086;286.970000;1271;71
4.28;368;1;0;1;32;532;1;0;5;10000;10000;25000;1;0;0;16;96.787537;NA;107.876344;189.846158;189.846154;286.640000;1277;71
4.28;369;1;0;1;32;532;1;0;5;10000;10000;25000;1;0;0;16;96.858867;NA;107.982121;187.825920;187.825916;284.700000;1271;71
4.47;369;1;0;1;32;532;1;0;5;10000;10000;25000;1;0;0;16;96.888569;NA;107.940178;189.805890;189.805885;286.700000;1276;71
4.55;369;1;0;1;32;532;1;0;5;10000;10000;25000;1;0;0;16;96.551008;NA;107.851040;189.059754;189.059746;285.620000;1275;71
4.20;359;1;0;1;32;532;1;0;5;10000;10000;25000;1;0;0;16;97.068896;NA;107.878164;187.936673;187.936662;285.020000;1273;71
4.07;368;1;0;1;32;532;1;0;5;10000;10000;25000;1;0;0;16;96.998600;NA;108.093530;186.977379;186.977375;283.990000;1274;72
4.23;369;1;0;1;32;532;1;0;5;10000;10000;25000;1;0;0;16;97.074923;NA;107.913696;188.441778;188.441773;285.530000;1272;71
4.09;360;1;0;1;32;532;1;0;5;10000;10000;25000;1;0;0;16;96.720078;NA;108.116713;189.503631;189.503627;286.230000;1274;71
4.09;365;1;0;1;32;532;1;0;5;10000;10000;10000;1;0;0;16;96.575303;NA;107.901263;189.665136;189.665131;286.250000;1273;71
4.56;363;1;0;1;32;532;1;0;5;10000;10000;10000;1;0;0;16;96.564337;NA;108.180853;190.203957;190.203951;286.780000;1276;71
4.23;368;1;0;1;32;532;1;0;5;10000;10000;10000;1;0;0;16;96.645024;NA;107.925907;189.690802;189.690798;286.350000;1272;71
4.27;368;1;0;1;32;532;1;0;5;10000;10000;10000;1;0;0;16;96.866573;NA;107.868787;189.352112;189.352105;286.230000;1274;71
4.25;368;1;0;1;32;532;1;0;5;10000;10000;10000;1;0;0;16;96.755250;NA;108.076372;186.400945;186.400940;283.170000;1275;72
4.08;369;1;0;1;32;532;1;0;5;10000;10000;10000;1;0;0;16;96.767757;NA;107.887567;187.059784;187.059780;283.840000;1274;72
4.09;369;1;0;1;32;532;1;0;5;10000;10000;10000;1;0;0;16;96.736247;NA;107.931454;189.748272;189.748267;286.490000;1274;71
4.08;369;1;0;1;32;532;1;0;5;10000;10000;10000;1;0;0;16;98.030357;NA;108.021754;189.925185;189.925181;287.970000;1274;71
4.05;358;1;0;1;32;532;1;0;5;10000;10000;10000;1;0;0;16;96.594561;NA;107.864112;189.879117;189.879109;286.480000;1272;71
4.04;363;1;0;1;32;532;1;0;5;10000;10000;10000;1;0;0;16;96.614754;NA;107.879634;189.410098;189.410089;286.030000;1272;71
4.20;359;1;0;1;32;532;1;0;5;10000;10000;1000;1;0;0;16;96.783737;NA;107.977702;189.920504;189.920499;286.710000;1272;71
4.10;368;1;0;1;32;532;1;0;5;10000;10000;1000;1;0;0;16;96.794067;NA;107.966333;185.795786;185.795782;282.600000;1273;72
4.23;358;1;0;1;32;532;1;0;5;10000;10000;1000;1;0;0;16;96.837610;NA;108.149003;186.937457;186.937452;283.790000;1271;72
4.09;368;1;0;1;32;532;1;0;5;10000;10000;1000;1;0;0;16;101.254843;NA;112.145613;192.434293;192.434289;293.700000;1274;72
4.13;369;1;0;1;32;532;1;0;5;10000;10000;1000;1;0;0;16;96.579335;NA;107.952010;189.224184;189.224180;285.820000;1273;71
4.19;368;1;0;1;32;532;1;0;5;10000;10000;1000;1;0;0;16;96.841551;NA;108.000144;190.013640;190.013633;286.870000;1273;71
4.05;369;1;0;1;32;532;1;0;5;10000;10000;1000;1;0;0;16;96.607173;NA;107.905794;188.236417;188.236413;284.850000;1275;71
4.16;368;1;0;1;32;532;1;0;5;10000;10000;1000;1;0;0;16;96.765192;NA;107.990262;189.815091;189.815087;286.590000;1275;71
4.16;369;1;0;1;32;532;1;0;5;10000;10000;1000;1;0;0;16;96.779697;NA;108.212548;186.727106;186.727102;283.520000;1274;72
4.25;368;1;0;1;32;532;1;0;5;10000;10000;1000;1;0;0;16;96.847809;NA;108.053316;186.853891;186.853885;283.710000;1274;72
4.33;368;1;0;1;32;532;1;0;5;10000;10000;100;1;0;0;16;97.043488;NA;108.678533;193.790315;193.790310;290.840000;1282;70
4.28;369;1;0;1;32;532;1;0;5;10000;10000;100;1;0;0;16;96.779799;NA;107.966638;193.526032;193.526027;290.320000;1283;70
4.17;368;1;0;1;32;532;1;0;5;10000;10000;100;1;0;0;16;96.795426;NA;108.724574;194.242276;194.242271;291.050000;1280;70
4.09;369;1;0;1;32;532;1;0;5;10000;10000;100;1;0;0;16;96.650859;NA;108.837994;194.305660;194.305656;290.970000;1286;70
4.22;358;1;0;1;32;532;1;0;5;10000;10000;100;1;0;0;16;97.058812;NA;108.654808;193.842822;193.842818;290.910000;1280;70
4.26;364;1;0;1;32;532;1;0;5;10000;10000;100;1;0;0;16;96.819739;NA;108.885447;193.001374;193.001365;289.830000;1284;70
4.22;368;1;0;1;32;532;1;0;5;10000;10000;100;1;0;0;16;96.655305;NA;109.376012;194.064733;194.064723;290.730000;1283;70
4.39;369;1;0;1;32;532;1;0;5;10000;10000;100;1;0;0;16;96.592899;NA;108.898104;193.744119;193.744114;290.350000;1283;70
4.14;368;1;0;1;32;532;1;0;5;10000;10000;100;1;0;0;16;96.674907;NA;108.507798;194.181510;194.181505;290.870000;1281;70
4.20;368;1;0;1;32;532;1;0;5;10000;10000;100;1;0;0;16;96.632543;NA;108.847915;194.724652;194.724648;291.370000;1281;70
4.33;369;1;0;1;32;533;1;0;5;10000;10000;25000;1;0;0;16;99.004460;NA;110.381814;187.614508;187.614505;286.630000;1274;73
4.13;368;1;0;1;32;533;1;0;5;10000;10000;25000;1;0;0;16;98.991633;NA;110.413366;185.708070;185.708066;284.710000;1274;73
4.16;369;1;0;1;32;533;1;0;5;10000;10000;25000;1;0;0;16;99.172400;NA;110.335114;186.448365;186.448360;285.630000;1273;73
4.04;369;1;0;1;32;533;1;0;5;10000;10000;25000;1;0;0;16;99.118212;NA;110.467156;187.717973;187.717969;286.850000;1276;73
