program  c.domain  adv.model   protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
51       FIELD     semihonest  shamir            3          2.15          139                1                  25000            1000000     0.0844697            0.32                 180           268%       ~30           16.0003         48.0005          0.20             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 250000           1000000     0.0929014            0.31                 178           311%       ~30           16.0003         48.0005          0.24             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 25000            1000000     0.101283             0.34                 188           334%       ~30           16.0003         48.0005          0.27             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 25000            1000000     0.0960221            0.31                 176           310%       ~30           16.0003         48.0005          0.30             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 25000            1000000     0.0956539            0.33                 182           292%       ~30           16.0003         48.0005          0.27             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 25000            1000000     0.093063             0.31                 179           290%       ~30           16.0003         48.0005          0.22             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 25000            1000000     0.0891149            0.31                 173           282%       ~30           16.0003         48.0005          0.22             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 25000            1000000     0.0805417            0.30                 175           319%       ~30           16.0003         48.0005          0.32             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 25000            1000000     0.095033             0.32                 173           270%       ~30           16.0003         48.0005          0.29             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 25000            1000000     0.0944344            0.33                 181           306%       ~30           16.0003         48.0005          0.26             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 10000            1000000     0.10546              0.33                 188           313%       ~30           16.0003         48.0005          0.27             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 10000            1000000     0.0928866            0.31                 178           306%       ~30           16.0003         48.0005          0.26             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 10000            1000000     0.0974719            0.33                 178           302%       ~30           16.0003         48.0005          0.27             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 10000            1000000     0.102106             0.34                 184           323%       ~30           16.0003         48.0005          0.28             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 10000            1000000     0.0885744            0.30                 176           330%       ~30           16.0003         48.0005          0.25             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 10000            1000000     0.0877708            0.30                 172           305%       ~30           16.0003         48.0005          0.25             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 10000            1000000     0.0986799            0.31                 171           314%       ~30           16.0003         48.0005          0.21             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 10000            1000000     0.0942946            0.31                 181           317%       ~30           16.0003         48.0005          0.22             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 10000            1000000     0.0989331            0.33                 177           330%       ~30           16.0003         48.0005          0.30             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 10000            1000000     0.097159             0.31                 177           283%       ~30           16.0003         48.0005          0.25             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 1000             1000000     0.200579             0.43                 181           231%       ~30           16.0003         48.0005          0.24             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 1000             1000000     0.207806             0.43                 176           245%       ~30           16.0003         48.0005          0.30             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 1000             1000000     0.204749             0.42                 182           233%       ~30           16.0003         48.0005          0.31             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 1000             1000000     0.195717             0.41                 179           256%       ~30           16.0003         48.0005          0.28             on,threads             
