program  c.domain  adv.model   protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
51       FIELD     semihonest  shamir            3          2.11          139                1                  25000            1000000     0.100448             0.31                 175           281%       ~30           16.0003         48.0005          0.22             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 250000           1000000     0.107955             0.32                 174           310%       ~30           16.0003         48.0005          0.25             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 25000            1000000     0.0849546            0.29                 177           313%       ~30           16.0003         48.0005          0.23             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 25000            1000000     0.0958615            0.33                 175           319%       ~30           16.0003         48.0005          0.28             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 25000            1000000     0.0925213            0.32                 178           263%       ~30           16.0003         48.0005          0.22             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 25000            1000000     0.100258             0.31                 175           312%       ~30           16.0003         48.0005          0.30             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 25000            1000000     0.0955908            0.31                 175           302%       ~30           16.0003         48.0005          0.25             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 25000            1000000     0.106933             0.34                 180           311%       ~30           16.0003         48.0005          0.33             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 25000            1000000     0.086457             0.29                 174           308%       ~30           16.0003         48.0005          0.26             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 25000            1000000     0.0995323            0.30                 176           332%       ~30           16.0003         48.0005          0.31             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 10000            1000000     0.089104             0.29                 180           292%       ~30           16.0003         48.0005          0.18             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 10000            1000000     0.113205             0.33                 175           269%       ~30           16.0003         48.0005          0.25             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 10000            1000000     0.100876             0.31                 175           307%       ~30           16.0003         48.0005          0.26             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 10000            1000000     0.109462             0.36                 187           280%       ~30           16.0003         48.0005          0.23             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 10000            1000000     0.106439             0.34                 175           302%       ~30           16.0003         48.0005          0.28             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 10000            1000000     0.0933025            0.33                 178           313%       ~30           16.0003         48.0005          0.30             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 10000            1000000     0.0946598            0.32                 179           314%       ~30           16.0003         48.0005          0.30             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 10000            1000000     0.101095             0.33                 180           322%       ~30           16.0003         48.0005          0.28             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 10000            1000000     0.113674             0.36                 181           285%       ~30           16.0003         48.0005          0.29             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 10000            1000000     0.111471             0.34                 177           295%       ~30           16.0003         48.0005          0.29             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 1000             1000000     0.19317              0.43                 176           246%       ~30           16.0003         48.0005          0.29             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 1000             1000000     0.200469             0.42                 174           214%       ~30           16.0003         48.0005          0.23             on,threads             
51       FIELD     semihonest  shamir            3          NA            NA                 NA                 1000             1000000     0.313176             0.55                 181           191%       ~30           16.0003         48.0005          0.28             on,threads             
