program  c.domain  adv.model      protocol         partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
53       RING      semihonest     replicated-ring  3          0.31          31                 1                  25000            10000       0.0191777            0.14                 37            187%       ~110          0.23576         0.70728          0.10             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25000            10000       0.0154812            0.13                 35            177%       ~110          0.23576         0.70728          0.05             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25000            10000       0.0209636            0.15                 36            197%       ~110          0.23576         0.70728          0.13             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25000            10000       0.0182374            0.15                 36            175%       ~110          0.23576         0.70728          0.05             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25000            10000       0.0182895            0.15                 38            161%       ~110          0.23576         0.70728          0.03             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25000            10000       0.0121607            0.13                 36            154%       ~110          0.23576         0.70728          0.06             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25000            10000       0.0128179            0.17                 36            135%       ~110          0.23576         0.70728          0.05             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25000            10000       0.0206289            0.15                 36            188%       ~110          0.23576         0.70728          0.06             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25000            10000       0.0221482            0.17                 36            155%       ~110          0.23576         0.70728          0.07             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25000            10000       0.0225283            0.15                 38            178%       ~110          0.23576         0.70728          0.08             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000            10000       0.0206981            0.15                 33            183%       ~110          0.23576         0.70728          0.10             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000            10000       0.0245302            0.14                 36            180%       ~110          0.23576         0.70728          0.10             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000            10000       0.0198742            0.18                 36            140%       ~110          0.23576         0.70728          0.05             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000            10000       0.0208925            0.14                 36            193%       ~110          0.23576         0.70728          0.09             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000            10000       0.0200027            0.16                 33            157%       ~110          0.23576         0.70728          0.07             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000            10000       0.0253785            0.16                 34            178%       ~110          0.23576         0.70728          0.07             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000            10000       0.0188917            0.15                 33            164%       ~110          0.23576         0.70728          0.07             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000            10000       0.0206595            0.15                 34            175%       ~110          0.23576         0.70728          0.07             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000            10000       0.0190469            0.15                 34            158%       ~110          0.23576         0.70728          0.06             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000            10000       0.0239636            0.15                 42            168%       ~110          0.23576         0.70728          0.08             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 1000             10000       0.020047             0.18                 37            161%       ~110          0.23576         0.70728          0.06             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 1000             10000       0.0173554            0.16                 36            166%       ~110          0.23576         0.70728          0.06             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 1000             10000       0.0151149            0.15                 33            158%       ~110          0.23576         0.70728          0.04             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 1000             10000       0.01152              0.14                 38            149%       ~110          0.23576         0.70728          0.06             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 1000             10000       0.0204825            0.15                 36            174%       ~110          0.23576         0.70728          0.07             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 1000             10000       0.0177939            0.14                 36            186%       ~110          0.23576         0.70728          0.10             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 1000             10000       0.0229714            0.15                 36            186%       ~110          0.23576         0.70728          0.07             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 1000             10000       0.0212254            0.14                 36            198%       ~110          0.23576         0.70728          0.11             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 1000             10000       0.0217762            0.14                 35            189%       ~110          0.23576         0.70728          0.10             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 1000             10000       0.0212416            0.14                 34            176%       ~110          0.23576         0.70728          0.04             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 100              10000       0.0201495            0.16                 34            161%       ~110          0.23576         0.70728          0.06             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 100              10000       0.0212932            0.15                 38            175%       ~110          0.23576         0.70728          0.09             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 100              10000       0.0204222            0.15                 38            192%       ~110          0.23576         0.70728          0.07             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 100              10000       0.0225804            0.15                 36            188%       ~110          0.23576         0.70728          0.04             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 100              10000       0.0221346            0.17                 36            156%       ~110          0.23576         0.70728          0.05             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 100              10000       0.0208043            0.16                 36            163%       ~110          0.23576         0.70728          0.09             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 100              10000       0.0162688            0.15                 36            176%       ~110          0.23576         0.70728          0.08             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 100              10000       0.0252124            0.17                 38            168%       ~110          0.23576         0.70728          0.06             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 100              10000       0.0178946            0.16                 35            161%       ~110          0.23576         0.70728          0.06             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 100              10000       0.0236001            0.16                 35            197%       ~110          0.23576         0.70728          0.07             on,threads             
53       BINARY    semihonest     replicated-bin   3          0.73          42                 1                  25000            10000       0.0164992            0.13                 32            185%       ~103          0.164192        0.492576         0.07             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 25000            10000       0.0148848            0.15                 31            163%       ~103          0.164192        0.492576         0.06             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 25000            10000       0.0167969            0.15                 27            174%       ~103          0.164192        0.492576         0.04             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 25000            10000       0.0176996            0.14                 29            192%       ~103          0.164192        0.492576         0.07             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 25000            10000       0.0168802            0.13                 29            166%       ~103          0.164192        0.492576         0.07             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 25000            10000       0.0154023            0.15                 30            155%       ~103          0.164192        0.492576         0.05             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 25000            10000       0.012481             0.15                 29            185%       ~103          0.164192        0.492576         0.05             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 25000            10000       0.0168439            0.16                 30            153%       ~103          0.164192        0.492576         0.05             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 25000            10000       0.0181656            0.16                 30            171%       ~103          0.164192        0.492576         0.09             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 25000            10000       0.0174545            0.15                 33            169%       ~103          0.164192        0.492576         0.08             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000            10000       0.0168082            0.14                 29            169%       ~103          0.164192        0.492576         0.08             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000            10000       0.0101659            0.15                 30            154%       ~103          0.164192        0.492576         0.05             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000            10000       0.020973             0.13                 31            173%       ~103          0.164192        0.492576         0.08             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000            10000       0.0188232            0.14                 28            160%       ~103          0.164192        0.492576         0.05             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000            10000       0.01197              0.13                 29            159%       ~103          0.164192        0.492576         0.03             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000            10000       0.0139312            0.14                 29            175%       ~103          0.164192        0.492576         0.05             NA,NA                  
