program  c.domain  adv.model      protocol         partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
53       RING      semihonest     replicated-ring  3          0.31          31                 1                  10000       0               0.0198831            0.14                 35            197%       ~110          0.23576         0.70728          0.13             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       0               0.0174082            0.15                 36            172%       ~110          0.23576         0.70728          0.06             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       0               0.0218682            0.16                 36            167%       ~110          0.23576         0.70728          0.08             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       0               0.0198689            0.16                 36            188%       ~110          0.23576         0.70728          0.09             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       0               0.0234179            0.15                 40            183%       ~110          0.23576         0.70728          0.10             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       0               0.018525             0.16                 36            165%       ~110          0.23576         0.70728          0.05             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       0               0.0180716            0.16                 35            160%       ~110          0.23576         0.70728          0.07             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       0               0.0233402            0.17                 37            165%       ~110          0.23576         0.70728          0.11             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       0               0.0210682            0.14                 35            204%       ~110          0.23576         0.70728          0.06             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       0               0.0220729            0.14                 38            183%       ~110          0.23576         0.70728          0.07             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       1               0.0285444            1.14                 34            26%        ~110          0.23576         0.70728          0.06             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       1               0.0372962            1.15                 36            29%        ~110          0.23576         0.70728          0.09             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       1               0.0307706            2.18                 38            14%        ~110          0.23576         0.70728          0.11             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       1               0.0272763            3.21                 36            9%         ~110          0.23576         0.70728          0.10             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       1               0.0269566            1.58                 36            21%        ~110          0.23576         0.70728          0.10             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       1               0.0424244            1.58                 36            24%        ~110          0.23576         0.70728          0.05             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       1               0.241821             1.77                 34            21%        ~110          0.23576         0.70728          0.10             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       1               0.239187             1.55                 37            26%        ~110          0.23576         0.70728          0.09             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       1               0.0225081            0.56                 34            48%        ~110          0.23576         0.70728          0.04             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       1               0.0332319            2.16                 36            15%        ~110          0.23576         0.70728          0.10             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       2               0.0354263            1.38                 36            22%        ~110          0.23576         0.70728          0.09             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       2               0.240342             2.60                 34            16%        ~110          0.23576         0.70728          0.07             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       2               0.445715             3.45                 34            11%        ~110          0.23576         0.70728          0.10             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       2               0.23705              3.01                 32            12%        ~110          0.23576         0.70728          0.10             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       2               0.237149             1.79                 34            21%        ~110          0.23576         0.70728          0.10             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       2               0.238971             0.79                 35            49%        ~110          0.23576         0.70728          0.12             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       2               0.0353165            1.58                 35            22%        ~110          0.23576         0.70728          0.08             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       2               0.279782             3.06                 33            10%        ~110          0.23576         0.70728          0.11             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       2               0.232018             3.41                 34            9%         ~110          0.23576         0.70728          0.08             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       2               0.034184             3.44                 39            11%        ~110          0.23576         0.70728          0.11             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       5               0.237611             5.04                 36            8%         ~110          0.23576         0.70728          0.08             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       5               0.23963              5.27                 35            7%         ~110          0.23576         0.70728          0.08             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       5               0.864911             5.93                 36            7%         ~110          0.23576         0.70728          0.12             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       5               0.25399              7.17                 38            6%         ~110          0.23576         0.70728          0.09             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       5               0.248043             1.79                 36            23%        ~110          0.23576         0.70728          0.06             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       5               1.53561              6.38                 36            6%         ~110          0.23576         0.70728          0.10             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       5               0.297411             3.52                 35            13%        ~110          0.23576         0.70728          0.14             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       5               0.238251             4.26                 36            10%        ~110          0.23576         0.70728          0.09             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       5               0.239857             4.48                 37            9%         ~110          0.23576         0.70728          0.11             on,threads             
53       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000       5               0.43922              4.57                 38            8%         ~110          0.23576         0.70728          0.12             on,threads             
53       BINARY    semihonest     replicated-bin   3          0.74          42                 1                  10000       0               0.0144857            0.14                 27            160%       ~103          0.164192        0.492576         0.06             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       0               0.0162191            0.15                 30            175%       ~103          0.164192        0.492576         0.07             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       0               0.0160943            0.14                 29            181%       ~103          0.164192        0.492576         0.07             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       0               0.0126046            0.15                 28            166%       ~103          0.164192        0.492576         0.04             NA,NA                  
53       BINARY    semihonest     replicated-bin   3          NA            NA                 NA                 10000       0               0.0170109            0.12                 30            181%       ~103          0.164192        0.492576         0.07             NA,NA                  
