program  c.domain  adv.model      protocol         partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
64       RING      semihonest     replicated-ring  3          0.93          35                 1                  25000            300         2.80481              3.04                 75            1004%      ~171386       13.8778         41.6333          18.53            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25000            300         3.36777              3.60                 79            974%       ~171386       13.8778         41.6333          21.69            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25000            300         3.40341              3.66                 74            975%       ~171386       13.8778         41.6333          21.89            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25000            300         3.46619              3.70                 71            965%       ~171386       13.8778         41.6333          22.01            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25000            300         3.37319              3.61                 77            973%       ~171386       13.8778         41.6333          22.00            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25000            300         3.41866              3.66                 74            969%       ~171386       13.8778         41.6333          22.08            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25000            300         3.36602              3.61                 71            978%       ~171386       13.8778         41.6333          21.86            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25000            300         3.35743              3.59                 79            985%       ~171386       13.8778         41.6333          21.78            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25000            300         3.32681              3.55                 76            985%       ~171386       13.8778         41.6333          21.73            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25000            300         3.42801              3.66                 77            976%       ~171386       13.8778         41.6333          22.34            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000            300         3.47152              3.70                 75            963%       ~171386       13.8778         41.6333          22.34            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000            300         3.45992              3.69                 77            966%       ~171386       13.8778         41.6333          22.32            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000            300         3.56674              3.78                 77            953%       ~171386       13.8778         41.6333          22.42            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 10000            300         3.33935              3.59                 77            974%       ~171386       13.8778         41.6333          22.25            on,threads             
