program  c.domain  adv.model      protocol         partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
64       RING      semihonest     replicated-ring  3          0.91          35                 1                  0              300         2.74744              2.96                 76            1049%      ~171386       13.8778         41.6333          19.18            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 0              300         3.11605              3.36                 73            1027%      ~171386       13.8778         41.6333          21.05            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 0              300         3.08599              3.33                 75            1030%      ~171386       13.8778         41.6333          21.72            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 0              300         3.49579              3.73                 73            954%       ~171386       13.8778         41.6333          22.38            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 0              300         3.42535              3.65                 76            974%       ~171386       13.8778         41.6333          22.54            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 0              300         3.44879              3.71                 73            966%       ~171386       13.8778         41.6333          22.03            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 0              300         3.46823              3.73                 77            953%       ~171386       13.8778         41.6333          22.27            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 0              300         3.34092              3.56                 75            992%       ~171386       13.8778         41.6333          22.02            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 0              300         3.34091              3.60                 77            985%       ~171386       13.8778         41.6333          22.68            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 0              300         3.49966              3.76                 77            956%       ~171386       13.8778         41.6333          22.69            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25             300         255.09               257.16               79            32%        ~171386       13.8778         41.6333          48.57            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25             300         255.104              257.17               77            32%        ~171386       13.8778         41.6333          50.85            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25             300         255.083              257.13               76            31%        ~171386       13.8778         41.6333          48.46            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25             300         255.09               257.15               73            31%        ~171386       13.8778         41.6333          48.71            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25             300         255.078              257.15               74            32%        ~171386       13.8778         41.6333          48.27            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25             300         255.134              257.19               77            32%        ~171386       13.8778         41.6333          50.71            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25             300         255.109              257.17               75            32%        ~171386       13.8778         41.6333          48.90            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25             300         255.081              257.14               76            31%        ~171386       13.8778         41.6333          48.60            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25             300         255.09               257.16               71            31%        ~171386       13.8778         41.6333          49.51            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 25             300         255.061              257.13               77            32%        ~171386       13.8778         41.6333          48.74            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 50             300         504.25               508.15               72            16%        ~171386       13.8778         41.6333          50.20            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 50             300         504.239              508.14               77            16%        ~171386       13.8778         41.6333          49.71            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 50             300         504.259              508.16               81            16%        ~171386       13.8778         41.6333          50.75            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 50             300         504.232              508.14               75            16%        ~171386       13.8778         41.6333          48.59            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 50             300         504.23               508.14               77            16%        ~171386       13.8778         41.6333          49.93            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 50             300         504.262              508.16               75            16%        ~171386       13.8778         41.6333          49.96            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 50             300         504.276              508.19               75            16%        ~171386       13.8778         41.6333          49.74            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 50             300         504.28               508.18               77            16%        ~171386       13.8778         41.6333          49.66            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 50             300         504.26               508.16               77            16%        ~171386       13.8778         41.6333          48.97            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 50             300         504.252              508.15               77            16%        ~171386       13.8778         41.6333          50.16            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 75             300         753.397              759.15               77            11%        ~171386       13.8778         41.6333          50.91            on,threads             
