program  c.domain  adv.model      protocol         partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
64       RING      semihonest     replicated-ring  3          0.88          37                 1                  300         0               2.80773              3.01                 75            1049%      ~171386       13.8778         41.6333          19.59            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         0               3.34198              3.58                 77            972%       ~171386       13.8778         41.6333          21.55            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         0               3.47866              3.70                 71            949%       ~171386       13.8778         41.6333          21.81            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         0               3.28541              3.51                 76            980%       ~171386       13.8778         41.6333          21.80            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         0               3.56975              3.82                 77            939%       ~171386       13.8778         41.6333          22.58            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         0               3.54955              3.78                 77            932%       ~171386       13.8778         41.6333          22.01            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         0               3.44527              3.69                 72            954%       ~171386       13.8778         41.6333          22.07            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         0               3.52149              3.76                 77            926%       ~171386       13.8778         41.6333          21.64            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         0               3.45037              3.70                 74            954%       ~171386       13.8778         41.6333          21.85            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         0               3.23964              3.46                 74            998%       ~171386       13.8778         41.6333          21.60            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         1               98.0242              99.88                77            50%        ~171386       13.8778         41.6333          30.74            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         1               98.1248              99.71                76            50%        ~171386       13.8778         41.6333          31.24            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         1               96.7982              97.94                74            51%        ~171386       13.8778         41.6333          29.86            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         1               103.433              104.65               74            48%        ~171386       13.8778         41.6333          31.37            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         1               101.428              102.76               76            49%        ~171386       13.8778         41.6333          30.28            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         1               100.732              102.15               74            49%        ~171386       13.8778         41.6333          30.62            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         1               101.777              104.94               77            48%        ~171386       13.8778         41.6333          30.92            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         1               104.398              105.59               74            47%        ~171386       13.8778         41.6333          31.28            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         1               100.697              103.08               73            49%        ~171386       13.8778         41.6333          30.36            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         1               101.96               103.36               76            49%        ~171386       13.8778         41.6333          31.02            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         2               156.203              157.81               75            35%        ~171386       13.8778         41.6333          33.41            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         2               149.49               151.30               77            36%        ~171386       13.8778         41.6333          33.36            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         2               152.021              154.19               75            36%        ~171386       13.8778         41.6333          34.15            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         2               155.288              157.50               75            35%        ~171386       13.8778         41.6333          34.16            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         2               145.93               148.36               74            37%        ~171386       13.8778         41.6333          32.86            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         2               153.172              157.52               76            35%        ~171386       13.8778         41.6333          32.50            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         2               153.62               156.65               76            35%        ~171386       13.8778         41.6333          33.53            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         2               153.122              154.52               74            35%        ~171386       13.8778         41.6333          34.62            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         2               146.985              149.04               76            37%        ~171386       13.8778         41.6333          33.78            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         2               150.866              153.24               75            36%        ~171386       13.8778         41.6333          32.68            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         5               356.258              361.77               76            20%        ~171386       13.8778         41.6333          42.26            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         5               342.878              354.56               71            20%        ~171386       13.8778         41.6333          42.32            on,threads             
64       RING      semihonest     replicated-ring  3          NA            NA                 NA                 300         5               344.037              351.38               75            20%        ~171386       13.8778         41.6333          42.62            on,threads             
64       RING      semidishonest  semi2k           3          0.88          37                 1                  300         0               158.443              158.76               1049          611%       ~999706       4730.03         14105.4          577.32           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         0               162.196              162.60               1094          614%       ~999706       4730.03         14105.4          593.56           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         0               161.334              161.75               1089          616%       ~999706       4730.03         14105.4          592.83           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         0               161.695              162.15               1077          613%       ~999706       4730.03         14105.4          591.80           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         0               160.767              161.21               1089          618%       ~999706       4730.03         14105.4          591.82           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         0               161.833              162.28               1068          620%       ~999706       4730.03         14105.4          599.07           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         0               161.772              162.23               1082          616%       ~999706       4730.03         14105.4          596.37           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         0               163.276              163.80               1086          618%       ~999706       4730.03         14105.4          607.32           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         0               162.013              162.38               1089          614%       ~999706       4730.03         14105.4          592.93           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         0               160.252              160.73               1090          615%       ~999708       4730.03         14105.4          590.73           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         1               265.693              266.92               1092          395%       ~999706       4730.03         14105.4          618.47           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         1               260.062              261.48               1084          401%       ~999706       4730.03         14105.4          614.57           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         1               263.481              264.75               1097          397%       ~999706       4730.03         14105.4          619.70           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         1               263.539              264.78               1083          395%       ~999706       4730.03         14105.4          614.53           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         1               261.186              261.69               1076          401%       ~999706       4730.03         14105.4          617.67           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         1               267.917              269.17               1090          390%       ~999706       4730.03         14105.4          613.99           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         1               263.645              264.87               1086          397%       ~999706       4730.03         14105.4          618.89           on,threads             
