program  c.domain  adv.model      protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
51       FIELD     semihonest     shamir            3          2.19          139                1                  0              1000000     0.0845664            0.31                 177           300%       ~30           16.0003         48.0005          0.25             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              1000000     0.0895373            0.30                 177           282%       ~30           16.0003         48.0005          0.22             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              1000000     0.0942351            0.32                 172           310%       ~30           16.0003         48.0005          0.26             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              1000000     0.0895427            0.30                 175           331%       ~30           16.0003         48.0005          0.26             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              1000000     0.104213             0.32                 180           332%       ~30           16.0003         48.0005          0.32             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              1000000     0.0900742            0.30                 178           339%       ~30           16.0003         48.0005          0.27             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              1000000     0.10205              0.33                 182           327%       ~30           16.0003         48.0005          0.27             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              1000000     0.0943822            0.32                 173           308%       ~30           16.0003         48.0005          0.24             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              1000000     0.0840005            0.31                 177           278%       ~30           16.0003         48.0005          0.21             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 0              1000000     0.0989466            0.30                 178           318%       ~30           16.0003         48.0005          0.24             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 25             1000000     0.543218             2.75                 176           58%        ~30           16.0003         48.0005          0.39             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 25             1000000     0.51747              2.72                 178           59%        ~30           16.0003         48.0005          0.39             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 25             1000000     0.498567             2.68                 175           61%        ~30           16.0003         48.0005          0.31             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 25             1000000     0.501669             2.69                 172           59%        ~30           16.0003         48.0005          0.37             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 25             1000000     0.516879             2.70                 177           59%        ~30           16.0003         48.0005          0.37             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 25             1000000     0.521889             2.71                 178           59%        ~30           16.0003         48.0005          0.40             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 25             1000000     0.506847             2.70                 177           60%        ~30           16.0003         48.0005          0.39             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 25             1000000     0.517051             2.71                 172           59%        ~30           16.0003         48.0005          0.34             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 25             1000000     0.517028             2.70                 174           59%        ~30           16.0003         48.0005          0.37             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 25             1000000     0.51419              2.71                 175           58%        ~30           16.0003         48.0005          0.41             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 50             1000000     0.893581             5.03                 175           31%        ~30           16.0003         48.0005          0.34             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 50             1000000     0.877376             5.00                 171           31%        ~30           16.0003         48.0005          0.36             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 50             1000000     0.896835             5.03                 172           32%        ~30           16.0003         48.0005          0.39             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 50             1000000     0.95936              5.08                 176           33%        ~30           16.0003         48.0005          0.42             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 50             1000000     1.53992              5.85                 173           27%        ~30           16.0003         48.0005          0.33             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 50             1000000     0.894901             5.01                 174           31%        ~30           16.0003         48.0005          0.30             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 50             1000000     0.892065             5.01                 174           32%        ~30           16.0003         48.0005          0.45             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 50             1000000     0.883201             5.01                 172           32%        ~30           16.0003         48.0005          0.31             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 50             1000000     0.891396             5.01                 177           32%        ~30           16.0003         48.0005          0.34             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 50             1000000     0.93599              5.06                 175           31%        ~30           16.0003         48.0005          0.39             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 75             1000000     1.2631               7.32                 175           22%        ~30           16.0003         48.0005          0.39             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 75             1000000     1.25379              7.29                 174           23%        ~30           16.0003         48.0005          0.37             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 75             1000000     1.25607              7.30                 172           22%        ~30           16.0003         48.0005          0.37             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 75             1000000     1.2578               7.30                 176           22%        ~30           16.0003         48.0005          0.44             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 75             1000000     1.27167              7.32                 174           21%        ~30           16.0003         48.0005          0.39             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 75             1000000     1.27064              7.33                 176           22%        ~30           16.0003         48.0005          0.42             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 75             1000000     1.25701              7.30                 174           22%        ~30           16.0003         48.0005          0.42             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 75             1000000     1.26952              7.31                 178           21%        ~30           16.0003         48.0005          0.37             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 75             1000000     1.26141              7.30                 177           22%        ~30           16.0003         48.0005          0.43             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 75             1000000     1.27593              7.32                 176           23%        ~30           16.0003         48.0005          0.38             on,threads             
51       FIELD     semihonest     replicated-field  3          2.19          139                1                  0              1000000     0.0606682            0.29                 220           257%       ~20           16.0002         48.0005          0.29             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              1000000     0.0566459            0.29                 212           240%       ~20           16.0002         48.0005          0.22             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              1000000     0.0621561            0.29                 222           236%       ~20           16.0002         48.0005          0.21             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              1000000     0.0617676            0.31                 215           235%       ~20           16.0002         48.0005          0.24             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              1000000     0.0627721            0.31                 218           219%       ~20           16.0002         48.0005          0.22             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              1000000     0.0644361            0.31                 219           236%       ~20           16.0002         48.0005          0.28             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              1000000     0.0615499            0.31                 219           226%       ~20           16.0002         48.0005          0.21             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              1000000     0.0626218            0.27                 216           234%       ~20           16.0002         48.0005          0.19             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              1000000     0.065588             0.31                 219           238%       ~20           16.0002         48.0005          0.25             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              1000000     0.0737622            0.33                 219           208%       ~20           16.0002         48.0005          0.21             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 25             1000000     0.449286             2.61                 219           47%        ~20           16.0002         48.0005          0.35             on,threads             
