program  c.domain  adv.model      protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
51       FIELD     semihonest     shamir            3          2.00          139                1                  1000000     0               0.0941955            0.30                 181           344%       ~30           16.0003         48.0005          0.32             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     0               0.0843625            0.30                 175           344%       ~30           16.0003         48.0005          0.21             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     0               0.0975926            0.34                 171           275%       ~30           16.0003         48.0005          0.26             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     0               0.0933339            0.32                 175           320%       ~30           16.0003         48.0005          0.31             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     0               0.09273              0.32                 182           318%       ~30           16.0003         48.0005          0.30             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     0               0.103187             0.32                 177           304%       ~30           16.0003         48.0005          0.24             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     0               0.09036              0.32                 173           310%       ~30           16.0003         48.0005          0.30             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     0               0.0905493            0.31                 171           281%       ~30           16.0003         48.0005          0.29             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     0               0.091789             0.31                 180           325%       ~30           16.0003         48.0005          0.30             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     0               0.103126             0.32                 180           328%       ~30           16.0003         48.0005          0.32             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     1               0.366222             2.83                 185           49%        ~30           16.0003         48.0005          0.34             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     1               0.131285             1.54                 181           75%        ~30           16.0003         48.0005          0.24             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     1               0.324274             0.94                 174           151%       ~30           16.0003         48.0005          0.29             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     1               0.326162             1.52                 173           82%        ~30           16.0003         48.0005          0.34             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     1               0.127485             1.57                 181           81%        ~30           16.0003         48.0005          0.23             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     1               0.156279             1.37                 176           105%       ~30           16.0003         48.0005          0.33             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     1               0.165041             1.72                 186           69%        ~30           16.0003         48.0005          0.29             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     1               0.316554             0.73                 181           152%       ~30           16.0003         48.0005          0.20             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     1               0.129027             0.56                 181           230%       ~30           16.0003         48.0005          0.33             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     1               0.323293             1.93                 178           57%        ~30           16.0003         48.0005          0.24             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     2               0.130353             1.99                 189           69%        ~30           16.0003         48.0005          0.26             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     2               0.338573             2.97                 177           51%        ~30           16.0003         48.0005          0.28             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     2               0.304036             3.55                 181           35%        ~30           16.0003         48.0005          0.29             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     2               0.295831             2.53                 185           55%        ~30           16.0003         48.0005          0.24             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     2               0.342926             2.15                 180           59%        ~30           16.0003         48.0005          0.27             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     2               0.144152             1.56                 172           87%        ~30           16.0003         48.0005          0.32             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     2               0.129791             4.57                 172           31%        ~30           16.0003         48.0005          0.30             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     2               0.391631             4.07                 184           32%        ~30           16.0003         48.0005          0.26             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     2               0.337974             2.60                 181           49%        ~30           16.0003         48.0005          0.30             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     2               0.33737              3.62                 176           42%        ~30           16.0003         48.0005          0.32             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     5               0.792379             2.75                 177           55%        ~30           16.0003         48.0005          0.32             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     5               0.362743             3.86                 173           38%        ~30           16.0003         48.0005          0.35             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     5               0.327373             2.65                 174           58%        ~30           16.0003         48.0005          0.34             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     5               0.890605             4.05                 172           39%        ~30           16.0003         48.0005          0.36             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     5               1.40941              8.60                 182           17%        ~30           16.0003         48.0005          0.35             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     5               0.606364             7.76                 190           18%        ~30           16.0003         48.0005          0.34             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     5               0.193231             2.27                 175           62%        ~30           16.0003         48.0005          0.37             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     5               0.842759             6.05                 180           26%        ~30           16.0003         48.0005          0.33             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     5               0.637226             4.30                 175           35%        ~30           16.0003         48.0005          0.32             on,threads             
51       FIELD     semihonest     shamir            3          NA            NA                 NA                 1000000     5               0.620991             3.55                 177           44%        ~30           16.0003         48.0005          0.31             on,threads             
51       FIELD     semihonest     replicated-field  3          2.00          139                1                  1000000     0               0.066421             0.30                 215           212%       ~20           16.0002         48.0005          0.17             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     0               0.0621716            0.33                 219           200%       ~20           16.0002         48.0005          0.19             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     0               0.0599344            0.30                 219           243%       ~20           16.0002         48.0005          0.23             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     0               0.0567751            0.30                 215           204%       ~20           16.0002         48.0005          0.19             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     0               0.0617585            0.30                 218           223%       ~20           16.0002         48.0005          0.24             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     0               0.062818             0.32                 216           218%       ~20           16.0002         48.0005          0.24             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     0               0.0615673            0.31                 216           214%       ~20           16.0002         48.0005          0.27             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     0               0.0623392            0.30                 219           243%       ~20           16.0002         48.0005          0.22             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     0               0.0633624            0.31                 218           254%       ~20           16.0002         48.0005          0.26             on,threads             
