program  c.domain  adv.model   protocol         partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
51       RING      semihonest  replicated-ring  3          2.00          140                1                  25000            1000000     0.0364374            0.22                 130           190%       ~20           4.00004         12.0001          0.14             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 250000           1000000     0.0345487            0.29                 133           161%       ~20           4.00004         12.0001          0.20             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25000            1000000     0.0347792            0.25                 131           189%       ~20           4.00004         12.0001          0.21             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25000            1000000     0.0320929            0.27                 127           170%       ~20           4.00004         12.0001          0.18             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25000            1000000     0.0369111            0.24                 133           192%       ~20           4.00004         12.0001          0.19             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25000            1000000     0.0325063            0.25                 131           186%       ~20           4.00004         12.0001          0.22             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25000            1000000     0.0393644            0.28                 131           175%       ~20           4.00004         12.0001          0.17             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25000            1000000     0.0271794            0.25                 133           158%       ~20           4.00004         12.0001          0.16             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25000            1000000     0.0291186            0.27                 132           154%       ~20           4.00004         12.0001          0.13             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25000            1000000     0.0343437            0.26                 133           174%       ~20           4.00004         12.0001          0.14             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 10000            1000000     0.0326053            0.23                 129           189%       ~20           4.00004         12.0001          0.15             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 10000            1000000     0.0364067            0.26                 130           170%       ~20           4.00004         12.0001          0.18             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 10000            1000000     0.0328668            0.25                 131           192%       ~20           4.00004         12.0001          0.19             on,threads             
