program  c.domain  adv.model   protocol         partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
51       RING      semihonest  replicated-ring  3          2.21          139                1                  1000000     0               0.0304421            0.26                 135           157%       ~20           4.00004         12.0001          0.15             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 1000000     0               0.0341115            0.26                 132           178%       ~20           4.00004         12.0001          0.18             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 1000000     0               0.0326635            0.24                 131           198%       ~20           4.00004         12.0001          0.18             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 1000000     0               0.0389007            0.24                 129           183%       ~20           4.00004         12.0001          0.15             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 1000000     0               0.0327884            0.26                 127           168%       ~20           4.00004         12.0001          0.16             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 1000000     0               0.0259243            0.22                 131           183%       ~20           4.00004         12.0001          0.19             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 1000000     0               0.0362289            0.25                 128           166%       ~20           4.00004         12.0001          0.19             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 1000000     0               0.0377567            0.24                 129           180%       ~20           4.00004         12.0001          0.13             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 1000000     0               0.0387155            0.29                 130           185%       ~20           4.00004         12.0001          0.26             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 1000000     0               0.0349187            0.26                 130           178%       ~20           4.00004         12.0001          0.14             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 1000000     1               0.679325             2.89                 132           19%        ~20           4.00004         12.0001          0.24             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 1000000     1               0.291137             2.15                 129           24%        ~20           4.00004         12.0001          0.15             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 1000000     1               0.060266             1.49                 131           41%        ~20           4.00004         12.0001          0.24             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 1000000     1               0.0568299            1.28                 134           42%        ~20           4.00004         12.0001          0.19             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 1000000     1               0.2578               2.12                 131           24%        ~20           4.00004         12.0001          0.18             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 1000000     1               0.25694              1.47                 134           44%        ~20           4.00004         12.0001          0.21             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 1000000     1               0.250853             0.68                 132           77%        ~20           4.00004         12.0001          0.19             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 1000000     1               0.253824             0.92                 133           62%        ~20           4.00004         12.0001          0.18             on,threads             
51       RING      semihonest  replicated-ring  3          NA            NA                 NA                 1000000     1               0.0543423            1.27                 132           47%        ~20           4.00004         12.0001          0.22             on,threads             
