program  c.domain  adv.model   protocol         partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
65       RING      semihonest  replicated-ring  3          12.98         706                1                  25000            64          0.309443             0.60                 527           980%       ~8609         282.734         842.73           1.20             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25000            64          0.351499             0.67                 523           927%       ~8609         282.734         842.73           1.33             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25000            64          0.447975             0.80                 529           951%       ~8609         282.734         842.73           2.13             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25000            64          0.431431             0.81                 525           929%       ~8609         282.734         842.73           2.01             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25000            64          0.390282             0.73                 530           924%       ~8609         282.734         842.73           1.76             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25000            64          0.410486             0.78                 527           908%       ~8609         282.734         842.73           1.85             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25000            64          0.448151             0.78                 531           951%       ~8609         282.734         842.73           1.96             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25000            64          0.450253             0.77                 531           956%       ~8609         282.734         842.73           2.09             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25000            64          0.477731             0.84                 527           927%       ~8609         282.734         842.73           1.73             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25000            64          0.459053             0.83                 523           928%       ~8609         282.734         842.73           2.07             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 10000            64          0.614175             0.96                 527           883%       ~8609         282.734         842.73           2.08             on,threads             
