program  c.domain  adv.model   protocol         partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
65       RING      semihonest  replicated-ring  3          12.88         704                1                  0              64          0.341511             0.65                 532           951%       ~8609         282.734         842.73           1.37             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              64          0.427449             0.76                 529           938%       ~8609         282.734         842.73           1.92             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              64          0.393083             0.76                 530           917%       ~8609         282.734         842.73           1.79             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              64          0.655913             0.99                 529           875%       ~8609         282.734         842.73           2.10             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              64          0.382735             0.73                 528           895%       ~8609         282.734         842.73           1.34             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              64          0.464413             0.84                 525           903%       ~8609         282.734         842.73           2.04             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              64          0.415806             0.74                 527           997%       ~8609         282.734         842.73           2.14             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              64          0.41853              0.78                 529           912%       ~8609         282.734         842.73           1.72             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              64          1.8924               2.25                 519           438%       ~8609         282.734         842.73           3.95             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              64          0.410625             0.74                 527           957%       ~8609         282.734         842.73           1.89             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             64          7.36903              9.58                 524           147%       ~8609         282.734         842.73           3.41             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             64          7.28941              9.50                 525           147%       ~8609         282.734         842.73           3.44             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             64          7.25397              9.45                 525           142%       ~8609         282.734         842.73           3.04             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             64          7.30866              9.52                 529           148%       ~8609         282.734         842.73           3.34             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             64          7.29178              9.51                 529           148%       ~8609         282.734         842.73           3.86             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             64          7.29999              9.51                 531           145%       ~8609         282.734         842.73           3.01             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             64          7.29712              9.50                 523           149%       ~8609         282.734         842.73           3.80             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             64          7.26875              9.48                 529           147%       ~8609         282.734         842.73           3.28             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             64          7.35466              9.56                 526           147%       ~8609         282.734         842.73           2.89             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 25             64          7.40377              9.63                 525           149%       ~8609         282.734         842.73           3.67             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 50             64          14.7267              18.77                530           74%        ~8609         282.734         842.73           3.53             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 50             64          14.7377              18.79                525           74%        ~8609         282.734         842.73           3.21             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 50             64          14.7383              18.79                527           74%        ~8609         282.734         842.73           3.39             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 50             64          14.5171              18.58                527           73%        ~8609         282.734         842.73           2.68             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 50             64          14.4                 18.47                527           75%        ~8609         282.734         842.73           3.25             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 50             64          14.731               18.79                525           75%        ~8609         282.734         842.73           3.48             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 50             64          14.492               18.55                524           74%        ~8609         282.734         842.73           3.24             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 50             64          15.9179              19.97                529           78%        ~8609         282.734         842.73           4.82             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 50             64          14.7578              18.82                525           75%        ~8609         282.734         842.73           3.71             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 50             64          15.2746              19.33                529           71%        ~8609         282.734         842.73           2.58             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 75             64          21.9607              27.87                528           52%        ~8609         282.734         842.73           3.24             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 75             64          22.1031              28.02                531           50%        ~8609         282.734         842.73           2.99             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 75             64          21.9818              27.88                529           50%        ~8609         282.734         842.73           3.35             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 75             64          22.1384              28.04                529           50%        ~8609         282.734         842.73           3.21             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 75             64          22.1147              28.04                531           49%        ~8609         282.734         842.73           3.01             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 75             64          22.6135              28.52                529           54%        ~8609         282.734         842.73           4.74             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 75             64          22.5642              28.48                528           55%        ~8609         282.734         842.73           5.34             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 75             64          22.1352              28.05                532           49%        ~8609         282.734         842.73           3.25             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 75             64          22.1242              28.03                525           50%        ~8609         282.734         842.73           3.12             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 75             64          22.1138              28.03                526           51%        ~8609         282.734         842.73           3.59             on,threads             
