program  c.domain  adv.model   protocol         partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
65       RING      semihonest  replicated-ring  3          12.96         702                1                  64          0               0.374448             0.72                 527           928%       ~8609         282.734         842.73           2.15             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 64          0               0.432625             0.79                 531           937%       ~8609         282.734         842.73           1.70             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 64          0               0.479818             0.81                 525           1000%      ~8609         282.734         842.73           2.39             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 64          0               0.605631             0.95                 529           876%       ~8609         282.734         842.73           2.69             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 64          0               0.379575             0.72                 524           908%       ~8609         282.734         842.73           1.49             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 64          0               0.384866             0.72                 527           928%       ~8609         282.734         842.73           1.50             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 64          0               0.410373             0.74                 523           934%       ~8609         282.734         842.73           1.68             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 64          0               0.468464             0.82                 528           961%       ~8609         282.734         842.73           2.19             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 64          0               0.424264             0.75                 529           971%       ~8609         282.734         842.73           1.82             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 64          0               0.401526             0.73                 520           964%       ~8609         282.734         842.73           1.86             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 64          1               3.17314              6.52                 527           189%       ~8609         282.734         842.73           3.43             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 64          1               3.24519              4.79                 523           258%       ~8609         282.734         842.73           3.03             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 64          1               3.21168              4.53                 529           262%       ~8609         282.734         842.73           3.04             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 64          1               3.96838              5.42                 530           221%       ~8609         282.734         842.73           3.11             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 64          1               2.80429              6.64                 527           182%       ~8609         282.734         842.73           2.93             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 64          1               2.5815               3.34                 527           352%       ~8609         282.734         842.73           2.75             on,threads             
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 64          1               2.94071              5.27                 532           213%       ~8609         282.734         842.73           2.70             on,threads             
