comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.35          227                1                  0    15       256       2         1         0         2         0         0         100000000   0           0           .010649      NA          .245900           .245878             .245878            .263333              9159          1473
1.32          225                1                  0    15       256       2         1         0         3         0         0         100000000   0           0           .003673      NA          .213657           .213635             .213635            .223333              6106          1466
1.35          226                1                  0    15       256       2         1         0         4         0         0         100000000   0           0           .007284      NA          .339589           .866041             .866041            .998000              9158          523
1.29          225                1                  0    15       256       2         1         0         5         0         0         100000000   0           0           .003699      NA          .237162           .237141             .237141            .249333              9158          1463
1.32          224                1                  0    15       256       2         1         0         6         0         0         100000000   0           0           .000003      NA          .042950           .042915             .042915            .045333              3054          1431
1.34          229                1                  0    25       256       2         1         0         2         0         0         100000000   0           0           .006858      NA          .221431           .221427             .221427            .240800              9160          2385
1.31          225                1                  0    25       256       2         1         0         3         0         0         100000000   0           0           .002340      NA          .148463           .148453             .148453            .158800              6106          2384
1.34          227                1                  0    25       256       2         1         0         4         0         0         100000000   0           0           .004327      NA          .226173           .712819             .712819            .885600              9158          652
1.33          225                1                  0    25       256       2         1         0         5         0         0         100000000   0           0           .002308      NA          .169666           .169661             .169661            .191200              9158          2257
1.31          224                1                  0    25       256       2         1         0         6         0         0         100000000   0           0           .000002      NA          .041682           .041667             .041667            .047600              3054          2207
1.32          226                1                  0    35       256       2         1         0         2         0         0         100000000   0           0           .005281      NA          .216669           .216700             .216700            .240571              9159          3250
1.34          226                1                  0    35       256       2         1         0         3         0         0         100000000   0           0           .001759      NA          .119958           .119956             .119956            .129428              6106          3309
1.33          226                1                  0    35       256       2         1         0         4         0         0         100000000   0           0           .003304      NA          .189465           .748191             .748191            .850000              9158          795
1.35          226                1                  0    35       256       2         1         0         5         0         0         100000000   0           0           .001781      NA          .154524           .154526             .154526            .166571              9158          3299
1.30          226                1                  0    35       256       2         1         0         6         0         0         100000000   0           0           .000001      NA          .042358           .042354             .042354            .047142              3054          3202
1.34          225                1                  0    45       256       2         1         0         2         0         0         100000000   0           0           .005156      NA          .216932           .216972             .216972            .249333              9160          4033
1.29          225                1                  0    45       256       2         1         0         3         0         0         100000000   0           0           .001613      NA          .109195           .109197             .109197            .122000              6106          4098
1.27          225                1                  0    45       256       2         1         0         4         0         0         100000000   0           0           .002878      NA          .169694           .651698             .651698            .831333              9158          935
1.34          226                1                  0    45       256       2         1         0         5         0         0         100000000   0           0           .001685      NA          .151327           .151352             .151352            .168222              9158          4111
1.33          226                1                  0    45       256       2         1         0         6         0         0         100000000   0           0           .000001      NA          .041668           .041674             .041674            .047111              3054          4019
1.32          227                1                  0    55       256       2         1         0         2         0         0         100000000   0           0           .004782      NA          .241258           .241322             .241322            .264909              9160          5143
1.33          229                1                  0    55       256       2         1         0         3         0         0         100000000   0           0           .001537      NA          .105093           .105116             .105116            .114545              6106          5145
1.34          226                1                  0    55       256       2         1         0         4         0         0         100000000   0           0           .002584      NA          .178641           .668456             .668456            .824909              9158          1210
1.31          226                1                  0    55       256       2         1         0         5         0         0         100000000   0           0           .001539      NA          .163889           .163944             .163944            .178363              9158          5128
1.32          226                1                  0    55       256       2         1         0         6         0         0         100000000   0           0           0            NA          .044844           .044883             .044883            .049454              3054          5029
1.33          226                1                  0    65       256       2         1         0         2         0         0         100000000   0           0           .003845      NA          .217359           .225247             .225247            .277538              9160          5879
1.35          226                1                  0    65       256       2         1         0         3         0         0         100000000   0           0           .001385      NA          .117735           .119689             .119689            .127384              6106          6164
1.36          227                1                  0    65       256       2         1         0         4         0         0         100000000   0           0           .002030      NA          .162197           .546345             .546345            .769538              9158          1617
1.35          226                1                  0    65       256       2         1         0         5         0         0         100000000   0           0           .001213      NA          .165855           .172545             .172545            .205846              9158          6020
1.34          226                1                  0    65       256       2         1         0         6         0         0         100000000   0           0           0            NA          .051163           .052163             .052163            .054769              3054          6217
