comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.01;3;1;0;1;512;2;1;0;2;0;0;1000000;0;2;0;NA;.010315;.012267;.012267;.013333;248;1379
0.02;3;1;0;1;512;2;1;0;2;0;50;1000000;0;2;.000174;NA;.021219;.011992;.011992;.013888;257;2766
0.02;3;1;0;1;512;2;1;0;2;0;100;1000000;0;2;.000178;NA;.018785;.011135;.011135;.012777;252;2763
0.02;3;1;0;1;512;2;1;0;2;0;200;1000000;0;2;.000182;NA;.016623;.010330;.010330;.011666;251;2643
0.02;3;1;0;1;512;2;1;0;2;0;1000;1000000;0;2;.000179;NA;.014019;.009305;.009304;.010555;248;2443
0.02;3;1;0;1;512;2;1;0;2;50;0;1000000;0;2;.000160;NA;.016473;.011778;.011778;.013888;257;2207
0.02;3;1;0;1;512;2;1;0;2;50;50;1000000;0;2;.000347;NA;.023862;.012222;.012222;.014444;261;3109
0.02;3;1;0;1;512;2;1;0;2;50;100;1000000;0;2;.000333;NA;.021876;.011265;.011265;.013888;256;3044
0.01;3;1;0;1;512;2;1;0;2;50;200;1000000;0;2;.000344;NA;.019663;.010234;.010234;.012777;255;2988
0.02;3;1;0;1;512;2;1;0;2;50;1000;1000000;0;2;.000342;NA;.018806;.009529;.009528;.012222;253;3036
0.02;3;1;0;1;512;2;1;0;2;100;0;1000000;0;2;.000172;NA;.014300;.011911;.011911;.015000;250;1763
0.02;3;1;0;1;512;2;1;0;2;100;50;1000000;0;2;.000335;NA;.022627;.011897;.011897;.014444;256;3015
0.02;3;1;0;1;512;2;1;0;2;100;100;1000000;0;2;.000342;NA;.020463;.011025;.011025;.013333;255;2906
0.02;3;1;0;1;512;2;1;0;2;100;200;1000000;0;2;.000336;NA;.018448;.010031;.010031;.012777;252;2850
0.02;3;1;0;1;512;2;1;0;2;100;1000;1000000;0;2;.000348;NA;.017608;.009162;.009162;.011666;250;2895
0.02;3;1;0;1;512;2;1;0;2;200;0;1000000;0;2;.000168;NA;.013735;.011222;.011222;.013333;249;1960
0.02;3;1;0;1;512;2;1;0;2;200;50;1000000;0;2;.000345;NA;.022142;.011600;.011600;.013888;258;2995
0.02;3;1;0;1;512;2;1;0;2;200;100;1000000;0;2;.000335;NA;.019801;.010838;.010838;.013333;253;2817
0.01;3;1;0;1;512;2;1;0;2;200;200;1000000;0;2;.000329;NA;.017928;.009868;.009868;.012222;250;2814
