comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.54          216                1                  0    30       512       2         1         0         1         100000    10000     10000000    0           0           1             .002858      NA          .162458           .199880             .199880            .224333              3671          2347
1.49          215                1                  0    30       512       2         1         0         2         100000    10000     10000000    0           0           1             .002239      NA          .091762           .186276             .186276            .213666              2447          1364
1.49          216                1                  0    30       512       2         1         0         3         100000    10000     10000000    0           0           1             .001329      NA          .040518           .181129             .181128            .228333              1226          551
1.50          216                1                  0    30       512       2         1         0         5         100000    10000     10000000    0           0           1             .001684      NA          .052159           .185194             .185194            .215666              1837          745
1.75          215                1                  0    30       512       2         1         0         6         100000    10000     10000000    0           0           1             .000970      NA          .078905           .187836             .187836            .213333              1837          1174
1.95          215                1                  0    30       512       2         1         0         7         100000    10000     10000000    0           0           1             .000950      NA          .080252           .188330             .188329            .213000              1837          1196
1.79          220                1                  0    30       512       2         1         0         8         100000    10000     10000000    0           0           1             .002487      NA          .170751           .281737             .281736            .357000              3665          1456
1.58          220                1                  0    30       512       2         1         0         9         100000    10000     10000000    0           0           1             .005267      NA          .280402           .222912             .222912            .255666              4892          3363
1.41          219                1                  0    30       512       2         1         0         10        100000    10000     10000000    0           0           1             .003040      NA          .167079           .219358             .219358            .252333              3058          2032
1.43          219                1                  0    30       512       2         1         0         11        100000    10000     10000000    0           0           1             .002287      NA          .196431           .411682             .411682            .559000              3059          1074
1.73          219                1                  0    30       512       2         1         0         12        100000    10000     10000000    0           0           1             .002652      NA          .155522           .214695             .214694            .268333              2446          1765
1.49          217                1                  0    35       512       2         1         0         1         100000    10000     10000000    0           0           1             .002901      NA          .144396           .200637             .200637            .231714              3671          2441
1.64          215                1                  0    35       512       2         1         0         2         100000    10000     10000000    0           0           1             .002210      NA          .082286           .189628             .189628            .213714              2447          1428
1.49          216                1                  0    35       512       2         1         0         3         100000    10000     10000000    0           0           1             .001535      NA          .037797           .179716             .179715            .220857              1226          621
1.64          215                1                  0    35       512       2         1         0         5         100000    10000     10000000    0           0           1             .001522      NA          .049631           .185159             .185159            .213142              1837          837
1.62          215                1                  0    35       512       2         1         0         6         100000    10000     10000000    0           0           1             .001019      NA          .073887           .192656             .192656            .213142              1837          1289
1.58          215                1                  0    35       512       2         1         0         7         100000    10000     10000000    0           0           1             .000887      NA          .070487           .187113             .187112            .213142              1837          1229
1.57          219                1                  0    35       512       2         1         0         8         100000    10000     10000000    0           0           1             .002321      NA          .151587           .265563             .265563            .341714              3667          1575
1.69          223                1                  0    35       512       2         1         0         9         100000    10000     10000000    0           0           1             .004377      NA          .246693           .216987             .216986            .242000              4892          3651
1.52          220                1                  0    35       512       2         1         0         10        100000    10000     10000000    0           0           1             .002581      NA          .147196           .206859             .206859            .262000              3058          2017
1.86          219                1                  0    35       512       2         1         0         11        100000    10000     10000000    0           0           1             .002138      NA          .207423           .445293             .445292            .551142              3058          1339
1.97          220                1                  0    35       512       2         1         0         12        100000    10000     10000000    0           0           1             .002447      NA          .138519           .213935             .213935            .259714              2444          1895
1.78          216                1                  0    40       512       2         1         0         1         100000    10000     10000000    0           0           1             .002765      NA          .127550           .202245             .202245            .229250              3671          2460
1.66          216                1                  0    40       512       2         1         0         2         100000    10000     10000000    0           0           1             .001723      NA          .079153           .192829             .192829            .211750              2447          1583
1.63          215                1                  0    40       512       2         1         0         3         100000    10000     10000000    0           0           1             .001360      NA          .035677           .186027             .186026            .214750              1227          688
1.54          215                1                  0    40       512       2         1         0         5         100000    10000     10000000    0           0           1             .001238      NA          .048574           .179091             .179091            .213000              1837          934
1.45          215                1                  0    40       512       2         1         0         6         100000    10000     10000000    0           0           1             .000964      NA          .065111           .187684             .187684            .213000              1837          1297
1.63          215                1                  0    40       512       2         1         0         7         100000    10000     10000000    0           0           1             .000905      NA          .063065           .187793             .187792            .212000              1837          1252
1.71          220                1                  0    40       512       2         1         0         8         100000    10000     10000000    0           0           1             .001866      NA          .143847           .279149             .279148            .349500              3665          1671
1.64          221                1                  0    40       512       2         1         0         9         100000    10000     10000000    0           0           1             .003622      NA          .225358           .212775             .212775            .237750              4893          3886
1.41          220                1                  0    40       512       2         1         0         10        100000    10000     10000000    0           0           1             .002191      NA          .132414           .207476             .207475            .247250              3058          2194
1.57          220                1                  0    40       512       2         1         0         11        100000    10000     10000000    0           0           1             .002122      NA          .169526           .390661             .390660            .522250              3058          1322
1.61          220                1                  0    40       512       2         1         0         12        100000    10000     10000000    0           0           1             .002455      NA          .124467           .209439             .209439            .248750              2444          2033
1.48          217                1                  0    45       512       2         1         0         1         100000    10000     10000000    0           0           1             .002530      NA          .115633           .203568             .203568            .229333              3671          2422
1.72          216                1                  0    45       512       2         1         0         2         100000    10000     10000000    0           0           1             .001632      NA          .071180           .192150             .192150            .211777              2447          1602
1.84          215                1                  0    45       512       2         1         0         3         100000    10000     10000000    0           0           1             .000969      NA          .033036           .180190             .180190            .215555              1230          714
1.46          216                1                  0    45       512       2         1         0         5         100000    10000     10000000    0           0           1             .001070      NA          .045518           .184903             .184903            .211333              1837          991
1.48          216                1                  0    45       512       2         1         0         6         100000    10000     10000000    0           0           1             .000958      NA          .057049           .189990             .189990            .211111              1837          1284
1.88          216                1                  0    45       512       2         1         0         7         100000    10000     10000000    0           0           1             .000804      NA          .056357           .192194             .192193            .210444              1837          1276
1.66          219                1                  0    45       512       2         1         0         8         100000    10000     10000000    0           0           1             .001697      NA          .135436           .268266             .268266            .346888              3665          1782
1.74          220                1                  0    45       512       2         1         0         9         100000    10000     10000000    0           0           1             .003546      NA          .206760           .211280             .211280            .234666              4893          4107
1.42          218                1                  0    45       512       2         1         0         10        100000    10000     10000000    0           0           1             .002295      NA          .117879           .201291             .201291            .247111              3058          2209
1.71          220                1                  0    45       512       2         1         0         11        100000    10000     10000000    0           0           1             .002005      NA          .169825           .409365             .409365            .534888              3058          1453
1.92          219                1                  0    45       512       2         1         0         12        100000    10000     10000000    0           0           1             .002099      NA          .112921           .202496             .202496            .252666              2444          2043
1.76          217                1                  0    50       512       2         1         0         1         100000    10000     10000000    0           0           1             .002517      NA          .105981           .204732             .204732            .231400              3671          2447
1.73          217                1                  0    50       512       2         1         0         2         100000    10000     10000000    0           0           1             .001443      NA          .063030           .190832             .190832            .213600              2447          1575
1.64          216                1                  0    50       512       2         1         0         3         100000    10000     10000000    0           0           1             .001260      NA          .029793           .187122             .187121            .213400              1226          722
