comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;bandwidths(Mbs);input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.95;254;1;0;40;256;2;1;0;11;1000;10000;25000;1000000;0;0;1;.000553;NA;.004889;.020770;.025861;.026500;156;796
1.95;252;1;0;40;256;2;1;0;11;1000;10000;24000;1000000;0;0;1;.000319;NA;.004929;.021263;.025894;.026500;157;800
1.92;252;1;0;40;256;2;1;0;11;1000;10000;23000;1000000;0;0;1;.000412;NA;.004812;.021906;.027289;.027750;156;749
1.93;256;1;0;40;256;2;1;0;11;1000;10000;22000;1000000;0;0;1;.000352;NA;.004942;.022748;.027590;.028250;156;765
1.95;252;1;0;40;256;2;1;0;11;1000;10000;21000;1000000;0;0;1;.000345;NA;.004768;.020179;.026100;.026500;156;770
1.93;253;1;0;40;256;2;1;0;11;1000;10000;20000;1000000;0;0;1;.000235;NA;.004908;.020829;.026092;.026750;156;797
1.93;253;1;0;40;256;2;1;0;11;1000;10000;19000;1000000;0;0;1;.000392;NA;.005006;.021732;.026374;.027000;157;795
1.93;253;1;0;40;256;2;1;0;11;1000;10000;18000;1000000;0;0;1;.000362;NA;.004803;.022170;.027965;.028750;156;723
1.92;253;1;0;40;256;2;1;0;11;1000;10000;17000;1000000;0;0;1;.000251;NA;.004761;.021820;.027040;.027750;156;748
1.92;252;1;0;40;256;2;1;0;11;1000;10000;16000;1000000;0;0;1;.000274;NA;.004852;.020750;.026320;.027000;156;777
1.93;252;1;0;40;256;2;1;0;11;1000;10000;15000;1000000;0;0;1;.000459;NA;.004633;.020105;.026535;.027000;156;740
1.89;253;1;0;40;256;2;1;0;11;1000;10000;14000;1000000;0;0;1;.000508;NA;.004820;.020315;.025740;.026250;156;786
1.93;253;1;0;40;256;2;1;0;11;1000;10000;13000;1000000;0;0;1;.000501;NA;.004867;.021206;.026063;.027000;157;779
1.95;252;1;0;40;256;2;1;0;11;1000;10000;12000;1000000;0;0;1;.000354;NA;.004774;.019623;.025204;.025750;156;802
1.90;253;1;0;40;256;2;1;0;11;1000;10000;11000;1000000;0;0;1;.000299;NA;.004737;.020357;.025923;.026500;156;768
1.93;253;1;0;40;256;2;1;0;11;1000;10000;10000;1000000;0;0;1;.000286;NA;.004830;.021191;.026583;.027250;156;766
1.93;252;1;0;40;256;2;1;0;11;1000;10000;9000;1000000;0;0;1;.000379;NA;.004658;.020197;.026719;.027250;156;740
1.94;253;1;0;40;256;2;1;0;11;1000;10000;8000;1000000;0;0;1;.000593;NA;.004837;.020357;.026029;.026750;156;781
1.92;254;1;0;40;256;2;1;0;11;1000;10000;7000;1000000;0;0;1;.000563;NA;.004846;.021217;.027433;.028250;156;740
1.94;255;1;0;40;256;2;1;0;11;1000;10000;6000;1000000;0;0;1;.000344;NA;.004790;.021422;.026812;.027500;156;760
1.94;252;1;0;40;256;2;1;0;11;1000;10000;5000;1000000;0;0;1;.000487;NA;.004737;.020771;.026453;.027250;156;749
1.93;253;1;0;40;256;2;1;0;11;1000;10000;4000;1000000;0;0;1;.000575;NA;.004634;.020545;.026284;.027000;156;750
1.95;252;1;0;40;256;2;1;0;11;1000;10000;3000;1000000;0;0;1;.000371;NA;.004884;.021980;.027142;.027500;156;765
1.93;253;1;0;40;256;2;1;0;11;1000;10000;2000;1000000;0;0;1;.000318;NA;.004709;.019596;.025482;.026000;156;777
1.92;252;1;0;40;256;2;1;0;11;1000;10000;1000;1000000;0;0;1;.000532;NA;.004793;.021043;.026749;.027750;156;747
1.92;253;1;0;40;256;2;1;0;10;1000;10000;25000;1000000;0;0;1;.000394;NA;.004869;.010267;.012471;.013000;156;1780
1.93;253;1;0;40;256;2;1;0;10;1000;10000;24000;1000000;0;0;1;.000436;NA;.004840;.010473;.012176;.013250;156;1872
1.90;253;1;0;40;256;2;1;0;10;1000;10000;23000;1000000;0;0;1;.000463;NA;.004790;.010448;.012735;.013500;156;1894
1.92;254;1;0;40;256;2;1;0;10;1000;10000;22000;1000000;0;0;1;.000354;NA;.004850;.010838;.012691;.013750;157;1866
1.92;253;1;0;40;256;2;1;0;10;1000;10000;21000;1000000;0;0;1;.000459;NA;.004609;.010959;.012088;.014000;156;1685
1.91;253;1;0;40;256;2;1;0;10;1000;10000;20000;1000000;0;0;1;.000360;NA;.004717;.011978;.013865;.014750;156;1746
1.95;252;1;0;40;256;2;1;0;10;1000;10000;19000;1000000;0;0;1;.000466;NA;.004928;.012025;.013378;.015000;156;1650
1.94;253;1;0;40;256;2;1;0;10;1000;10000;18000;1000000;0;0;1;.000623;NA;.004650;.012762;.014140;.016000;156;1398
1.94;253;1;0;40;256;2;1;0;10;1000;10000;17000;1000000;0;0;1;.000440;NA;.004681;.013371;.014907;.016500;156;1324
1.95;252;1;0;40;256;2;1;0;10;1000;10000;16000;1000000;0;0;1;.000393;NA;.004589;.014448;.015976;.017500;156;1229
1.93;253;1;0;40;256;2;1;0;10;1000;10000;15000;1000000;0;0;1;.000313;NA;.004598;.015799;.017323;.019000;156;1199
1.93;253;1;0;40;256;2;1;0;10;1000;10000;14000;1000000;0;0;1;.000656;NA;.004560;.015851;.018145;.020000;156;1085
1.93;253;1;0;40;256;2;1;0;10;1000;10000;13000;1000000;0;0;1;.000507;NA;.004584;.016096;.019591;.020750;157;981
1.94;253;1;0;40;256;2;1;0;10;1000;10000;12000;1000000;0;0;1;.000394;NA;.004550;.016737;.021256;.022500;157;905
1.94;252;1;0;40;256;2;1;0;10;1000;10000;11000;1000000;0;0;1;.000414;NA;.004574;.018940;.023259;.024250;156;853
1.94;253;1;0;40;256;2;1;0;10;1000;10000;10000;1000000;0;0;1;.000526;NA;.004475;.019530;.025512;.026500;156;736
1.92;253;1;0;40;256;2;1;0;10;1000;10000;9000;1000000;0;0;1;.000370;NA;.004463;.021764;.028358;.029250;156;669
1.92;252;1;0;40;256;2;1;0;10;1000;10000;8000;1000000;0;0;1;.000419;NA;.004531;.025436;.031963;.032500;156;600
1.94;252;1;0;40;256;2;1;0;10;1000;10000;7000;1000000;0;0;1;.000479;NA;.004471;.031041;.036622;.037750;156;531
1.95;253;1;0;40;256;2;1;0;10;1000;10000;6000;1000000;0;0;1;.000531;NA;.004516;.034604;.042780;.043750;156;447
1.93;252;1;0;40;256;2;1;0;10;1000;10000;5000;1000000;0;0;1;.000490;NA;.004393;.041357;.051324;.052000;156;367
1.93;254;1;0;40;256;2;1;0;10;1000;10000;4000;1000000;0;0;1;.000435;NA;.004371;.053633;.064182;.064750;156;294
1.95;254;1;0;40;256;2;1;0;10;1000;10000;3000;1000000;0;0;1;.000585;NA;.004532;.069635;.085641;.086500;156;226
1.89;253;1;0;40;256;2;1;0;10;1000;10000;2000;1000000;0;0;1;.000723;NA;.004492;.111554;.128631;.129250;156;154
1.94;252;1;0;40;256;2;1;0;10;1000;10000;1000;1000000;0;0;1;.000616;NA;.004827;.211939;.257468;.258250;156;79
1.93;254;1;0;40;256;2;1;0;12;1000;10000;25000;1000000;0;0;1;.000393;NA;.003605;.010102;.011720;.012250;125;1321
1.93;252;1;0;40;256;2;1;0;12;1000;10000;24000;1000000;0;0;1;.000295;NA;.003539;.010306;.011826;.012500;125;1356
