comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  freqs(GHz)  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    2.8         5        256       2         1         0         2         10000     1000      10000000    0           1           1             .001366      NA          .043835           .058497             .068577            .072666              1229          1911
0.01          3                  1                  0    2.8         5        256       2         1         0         3         10000     1000      10000000    0           1           1             .000922      NA          .032887           .048059             .055600            .059333              1538          1821
0.01          3                  1                  0    2.8         5        256       2         1         0         5         10000     1000      10000000    0           1           1             .000660      NA          .032491           .047877             .055940            .058666              1233          1792
0.01          3                  1                  0    2.6         5        256       2         1         0         2         10000     1000      10000000    0           1           1             .001239      NA          .044419           .058161             .067396            .070333              1229          1981
0.01          3                  1                  0    2.6         5        256       2         1         0         3         10000     1000      10000000    0           1           1             .000612      NA          .033246           .047369             .054392            .058333              1538          1836
0.01          3                  1                  0    2.6         5        256       2         1         0         5         10000     1000      10000000    0           1           1             .000614      NA          .033056           .047258             .053826            .058333              1233          1865
0.01          3                  1                  0    2.4         5        256       2         1         0         2         10000     1000      10000000    0           1           1             .001305      NA          .046795           .058534             .068008            .071000              1229          2077
0.01          3                  1                  0    2.4         5        256       2         1         0         3         10000     1000      10000000    0           1           1             .000808      NA          .032278           .048201             .056028            .059333              1538          1784
0.01          3                  1                  0    2.4         5        256       2         1         0         5         10000     1000      10000000    0           1           1             .000614      NA          .032908           .046799             .057502            .060666              1233          1749
0.01          3                  1                  0    2.2         5        256       2         1         0         2         10000     1000      10000000    0           1           1             .000840      NA          .045610           .059226             .068159            .070666              1229          2036
0.01          3                  1                  0    2.2         5        256       2         1         0         3         10000     1000      10000000    0           1           1             .000607      NA          .033440           .047737             .053785            .058666              1538          1866
0.01          3                  1                  0    2.2         5        256       2         1         0         5         10000     1000      10000000    0           1           1             .000966      NA          .033021           .048504             .056178            .059666              1233          1838
0.01          3                  1                  0    1.8         5        256       2         1         0         2         10000     1000      10000000    0           1           1             .001886      NA          .055476           .053889             .062916            .067333              1229          2734
0.01          3                  1                  0    1.8         5        256       2         1         0         3         10000     1000      10000000    0           1           1             .001229      NA          .046572           .049047             .061031            .065000              1540          2357
0.01          3                  1                  0    1.8         5        256       2         1         0         5         10000     1000      10000000    0           1           1             .001652      NA          .044996           .047775             .054658            .061666              1233          2438
0.01          3                  1                  0    1.6         5        256       2         1         0         2         10000     1000      10000000    0           1           1             .002410      NA          .056189           .054488             .062462            .067333              1229          2706
0.01          3                  1                  0    1.6         5        256       2         1         0         3         10000     1000      10000000    0           1           1             .000894      NA          .046770           .048175             .061886            .063000              1538          2496
0.01          3                  1                  0    1.6         5        256       2         1         0         5         10000     1000      10000000    0           1           1             .001765      NA          .046364           .046836             .058198            .062333              1233          2450
0.01          3                  1                  0    1.4         5        256       2         1         0         2         10000     1000      10000000    0           1           1             .002045      NA          .075880           .057728             .065818            .075666              1229          3483
0.01          3                  1                  0    1.4         5        256       2         1         0         3         10000     1000      10000000    0           1           1             .001655      NA          .064375           .051632             .066779            .071333              1538          3024
0.01          3                  1                  0    1.4         5        256       2         1         0         5         10000     1000      10000000    0           1           1             .001143      NA          .065289           .051521             .063690            .069000              1233          3218
0.01          3                  1                  0    1.2         5        256       2         1         0         2         10000     1000      10000000    0           1           1             .001958      NA          .072238           .058000             .064725            .075000              1229          3338
0.01          3                  1                  0    1.2         5        256       2         1         0         3         10000     1000      10000000    0           1           1             .001468      NA          .068576           .050730             .063644            .069333              1538          3370
0.01          3                  1                  0    1.2         5        256       2         1         0         5         10000     1000      10000000    0           1           1             .001244      NA          .065027           .050610             .060234            .068000              1233          3271
0.01          3                  1                  0    1           5        256       2         1         0         2         10000     1000      10000000    0           1           1             .001841      NA          .071725           .056958             .066452            .075000              1229          3337
0.01          3                  1                  0    1           5        256       2         1         0         3         10000     1000      10000000    0           1           1             .001547      NA          .063359           .049279             .064197            14.000000            1538          12
