comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    4        256       71        1         0         5         10000     10000     1              25000            1           0           1           0             .000792      NA          .018228           .479921             .496387            .497500              146           92
0.01          3                  1                  0    4        256       71        1         0         5         10000     10000     1              25000            1           1           1           0             .004084      .012107     .014978           .383898             .498650            .511666              200           89
0.02          3                  1                  0    4        256       71        1         0         5         10000     10000     1              10000            1           0           1           0             .000771      NA          .017916           .484180             .525866            .527083              146           85
0.01          3                  1                  0    4        256       71        1         0         5         10000     10000     1              10000            1           1           1           0             .008408      .016013     .015808           .481840             .516749            .531250              188           89
0.01          3                  1                  0    4        256       71        1         0         5         10000     10000     1              1000             1           0           1           0             .001005      NA          .018102           .530282             .579822            .580833              143           78
0.02          3                  1                  0    4        256       71        1         0         5         10000     10000     1              1000             1           1           1           0             .082617      .094653     .015187           .419973             .523105            .593333              186           79
0.01          3                  1                  0    4        256       71        1         0         5         10000     10000     1              100              1           0           1           0             .001032      NA          .020008           1.915898            1.976976           1.977916             158           25
0.02          3                  1                  0    4        256       71        1         0         5         10000     10000     1              100              1           1           1           0             .803613      .870258     .017173           1.371016            1.746601           2.017500             190           27
0.03          3                  1                  0    4        256       71        1         0         5         10000     10000     25             25000            1           0           1           0             .000857      NA          .017893           .484515             .511271            .512083              144           87
0.02          3                  1                  0    4        256       71        1         0         5         10000     10000     25             25000            1           1           1           0             .004060      .011624     .015432           .479982             .490839            .500833              190           93
0.03          3                  1                  0    4        256       71        1         0         5         10000     10000     25             10000            1           0           1           0             .001055      NA          .018155           .481180             .500029            .501666              144           90
0.03          3                  1                  0    4        256       71        1         0         5         10000     10000     25             10000            1           1           1           0             .008789      .015842     .015775           .484999             .505259            .517500              184           92
0.02          3                  1                  0    4        256       71        1         0         5         10000     10000     25             1000             1           0           1           0             .001133      NA          .017899           .539618             .572150            .573750              141           78
0.01          3                  1                  0    4        256       71        1         0         5         10000     10000     25             1000             1           1           1           0             .073707      .086592     .015498           .478209             .525314            .590000              186           81
0.02          3                  1                  0    4        256       71        1         0         5         10000     10000     25             100              1           0           1           0             .001161      NA          .021036           1.832658            1.862430           1.863333             143           28
0.03          3                  1                  0    4        256       71        1         0         5         10000     10000     25             100              1           1           1           0             .720284      .726566     .017609           1.092988            1.158019           1.880416             186           29
0.01          3                  1                  0    4        256       71        1         0         5         10000     10000     50             25000            1           0           1           0             .001263      NA          .017413           .384627             .508805            .510416              146           85
0.02          3                  1                  0    4        256       71        1         0         5         10000     10000     50             25000            1           1           1           0             .004020      .011199     .015613           .476811             .503108            .513750              184           91
0.02          3                  1                  0    4        256       71        1         0         5         10000     10000     50             10000            1           0           1           0             .000762      NA          .017729           .475859             .492168            .493333              146           90
0.02          3                  1                  0    4        256       71        1         0         5         10000     10000     50             10000            1           1           1           0             .007448      .016022     .015828           .478233             .494152            .509166              188           93
0.01          3                  1                  0    4        256       71        1         0         5         10000     10000     50             1000             1           0           1           0             .000807      NA          .018029           .521825             .563685            .565000              155           80
0.02          3                  1                  0    4        256       71        1         0         5         10000     10000     50             1000             1           1           1           0             .078955      .085387     .015843           .406560             .523566            .605000              188           79
0.01          3                  1                  0    4        256       71        1         0         5         10000     10000     50             100              1           0           1           0             .003215      NA          .020950           1.824939            1.871809           1.872916             143           27
0.03          3                  1                  0    4        256       71        1         0         5         10000     10000     50             100              1           1           1           0             .718296      .737181     .017296           1.104657            1.141151           1.866250             184           29
0.02          3                  1                  0    4        256       71        1         0         5         10000     10000     75             25000            1           0           1           0             .000747      NA          .018034           .431205             .503389            .504583              144           89
0.02          3                  1                  0    4        256       71        1         0         5         10000     10000     75             25000            1           1           1           0             .004044      .011318     .014435           .245746             .339829            .352083              188           125
0.02          3                  1                  0    4        256       71        1         0         5         10000     10000     75             10000            1           0           1           0             .000727      NA          .017723           .365428             .498097            .499166              144           88
0.02          3                  1                  0    4        256       71        1         0         5         10000     10000     75             10000            1           1           1           0             .008605      .015865     .015985           .402665             .501035            .517083              184           93
0.02          3                  1                  0    4        256       71        1         0         5         10000     10000     75             1000             1           0           1           0             .000751      NA          .017914           .502363             .554159            .555416              141           80
0.02          3                  1                  0    4        256       71        1         0         5         10000     10000     75             1000             1           1           1           0             .076009      .088515     .015765           .473504             .526108            .582916              188           82
0.01          3                  1                  0    4        256       71        1         0         5         10000     10000     75             100              1           0           1           0             .000966      NA          .020762           1.840485            1.872157           1.873333             145           27
