comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  packetdrops(%)  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.01          3                  1                  0    4        256       71        1         0         5         10000     10000     1           0           1           1               0             .042787      NA          .017616           .759058             .893069            .936250              144           47
0.03          3                  1                  0    4        256       71        1         0         5         10000     10000     1           0           1           2               0             .043377      NA          .018351           1.172065            1.323965           1.337083             149           34
0.02          3                  1                  0    4        256       71        1         0         5         10000     10000     1           0           1           3               0             .127260      NA          .018565           1.606291            1.865054           1.908750             146           24
0.02          3                  1                  0    4        256       71        1         0         5         10000     10000     1           0           1           4               0             .126822      NA          .019035           2.069419            2.464579           2.507916             144           18
0.03          3                  1                  0    4        256       71        1         0         5         10000     10000     1           0           1           5               0             .085631      NA          .019167           2.650362            3.316390           3.317916             148           14
0.01          3                  1                  0    4        256       71        1         0         5         10000     10000     1           0           1           6               0             .126729      NA          .019781           3.354706            3.830165           3.830833             162           12
0.01          3                  1                  0    4        256       71        1         0         5         10000     10000     1           1           1           1               0             .086303      .051573     .015546           .761184             .928116            1.016250             188           46
0.02          3                  1                  0    4        256       71        1         0         5         10000     10000     1           1           1           2               0             .088964      .051837     .015355           1.140977            1.344099           1.402083             188           33
0.01          3                  1                  0    4        256       71        1         0         5         10000     10000     1           1           1           3               0             .168827      .051125     .016241           1.622406            1.846664           1.991666             192           24
0.02          3                  1                  0    4        256       71        1         0         5         10000     10000     1           1           1           4               0             .168794      .076206     .016585           2.080866            2.357871           2.452500             188           20
0.02          3                  1                  0    4        256       71        1         0         5         10000     10000     1           1           1           5               0             .146736      .134631     .016875           2.635249            2.885916           3.050000             186           16
0.01          3                  1                  0    4        256       71        1         0         5         10000     10000     1           1           1           6               0             .614844      .181410     .017020           3.266270            3.717069           4.206666             192           12
0.01          3                  1                  0    4        256       71        1         1         5         10000     10000     1           0           1           1               0             .043486      NA          .014491           .176844             .263138            .277083              136           131
0.01          3                  1                  0    4        256       71        1         1         5         10000     10000     1           0           1           2               0             .043693      NA          .015139           .253919             .345776            .390000              137           97
0.02          3                  1                  0    4        256       71        1         1         5         10000     10000     1           0           1           3               0             .043049      NA          .014935           .384342             .482115            .483333              138           77
0.02          3                  1                  0    4        256       71        1         1         5         10000     10000     1           0           1           4               0             .126213      NA          .015301           .516457             .694128            .737500              139           52
0.01          3                  1                  0    4        256       71        1         1         5         10000     10000     1           0           1           5               0             .085922      NA          .015315           .660889             .831043            .832500              138           46
0.02          3                  1                  0    4        256       71        1         1         5         10000     10000     1           0           1           6               0             .126800      NA          .015650           .845108             1.428702           1.472083             142           26
