comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)    runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    4        256       70        1         0         5         10000     10000     64          0           1           2             .008112      NA            .407889           .385430             .399875            .408333              2728          2432
0.03          3                  1                  0    4        256       70        1         0         5         10000     10000     64          1           1           2             .115357      .356724       .255672           .318391             .335645            .674583              4698          1272
0.02          3                  1                  0    4        256       70        1         1         5         10000     10000     64          0           1           2             .006934      NA            .365014           .348096             .364385            .371250              2663          2396
0.01          3                  1                  0    4        256       70        1         1         5         10000     10000     64          1           1           2             .090966      .311614       .235714           .291832             .305961            .607083              4658          1300
0.03          3                  1                  0    4        256       170       1         0         5         10000     10000     64          0           1           2             .011272      NA            .474358           .437522             .470109            .482500              3094          2404
0.02          3                  1                  0    4        256       170       1         0         5         10000     10000     64          1           1           2             .197742      .482920       .272572           .339100             .359020            .820416              5631          1186
0.01          3                  1                  0    4        256       170       1         1         5         10000     10000     64          0           1           2             .007710      NA            .380091           .350791             .368457            .377083              2751          2455
0.02          3                  1                  0    4        256       170       1         1         5         10000     10000     64          1           1           2             .107026      .330309       .230987           .293481             .309759            .626666              4664          1259
0.01          3                  1                  0    4        256       270       1         0         5         10000     10000     64          0           1           2             .009844      NA            .469328           .437031             .462145            .472083              3010          2422
0.03          3                  1                  0    4        256       270       1         0         5         10000     10000     64          1           1           2             .139717      .399937       .293852           .354508             .379104            .760000              4711          1291
0.02          3                  1                  0    4        256       270       1         1         5         10000     10000     64          0           1           2             .007502      NA            .375229           .352304             .361529            .369166              2671          2474
0.01          3                  1                  0    4        256       270       1         1         5         10000     10000     64          1           1           2             .099055      .315744       .237341           .295166             .310715            .615416              4763          1295
0.02          3                  1                  0    4        256       71        1         0         5         10000     10000     64          0           1           2             .012949      NA            .648369           .602995             .630738            .642916              3907          2454
0.02          3                  1                  0    4        256       71        1         0         5         10000     10000     64          1           1           2             .172149      .565203       .429750           .514717             .539205            1.085833             7128          1315
0.02          3                  1                  0    4        256       71        1         1         5         10000     10000     64          0           1           2             .010065      NA            .580121           .544595             .560962            .571666              3882          2468
0.03          3                  1                  0    4        256       71        1         1         5         10000     10000     64          1           1           2             .139180      .496163       .367849           .464896             .483547            .966666              7111          1283
0.01          3                  1                  0    4        256       171       1         0         5         10000     10000     64          0           1           2             .018547      NA            .745284           .688507             .715316            .733333              4695          2482
0.01          3                  1                  0    4        256       171       1         0         5         10000     10000     64          1           1           2             .313103      .763171       .436314           .546429             .569814            1.330833             8811          1180
0.03          3                  1                  0    4        256       171       1         1         5         10000     10000     64          0           1           2             .011098      NA            .595199           .553019             .567827            .580000              3932          2499
0.03          3                  1                  0    4        256       171       1         1         5         10000     10000     64          1           1           2             .177043      .521424       .347778           .462175             .481966            1.002083             7126          1206
0.01          3                  1                  0    4        256       271       1         0         5         10000     10000     64          0           1           2             .013911      NA            .747183           .684424             .731833            .745833              4218          2438
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     64          1           1           2             .221705      .667382       .454329           .557926             .576866            1.225000             7134          1259
0.03          3                  1                  0    4        256       271       1         1         5         10000     10000     64          0           1           2             .010401      NA            .586678           .553175             .573272            .583333              4000          2446
0.02          3                  1                  0    4        256       271       1         1         5         10000     10000     64          1           1           2             .158564      .496250       .351713           .470623             .499246            .992500              7118          1222
0.03          3                  1                  0    4        256       72        1         0         5         10000     10000     64          0           1           2             .016223      NA            .989112           .936643             .959279            .976250              5742          2464
0.03          3                  1                  0    4        256       72        1         0         5         10000     10000     64          1           1           2             .254872      .923987       .634287           .809738             .839799            1.724583             10593         1255
0.03          3                  1                  0    4        256       72        1         1         5         10000     10000     64          0           1           2             .013315      NA            .889932           .844731             .873152            .888333              5599          2435
0.02          3                  1                  0    4        256       72        1         1         5         10000     10000     64          1           1           2             .202209      .825244       .574501           .734835             .767008            1.560416             10487         1262
0.02          3                  1                  0    4        256       172       1         0         5         10000     10000     64          0           1           2             .024554      NA            1.154179          1.052232            1.102516           1.129583             6060          2495
0.02          3                  1                  0    4        256       172       1         0         5         10000     10000     64          1           1           2             .468906      1.230369      .678430           .863228             .913429            2.108750             13169         1167
0.02          3                  1                  0    4        256       172       1         1         5         10000     10000     64          0           1           2             .015497      NA            .931537           .857282             .879510            .896666              5578          2529
0.02          3                  1                  0    4        256       172       1         1         5         10000     10000     64          1           1           2             .242390      .844696       .588360           .746083             .790417            1.615000             10558         1256
0.02          3                  1                  0    4        256       272       1         0         5         10000     10000     64          0           1           2             .021522      NA            1.135824          1.037070            1.082244           1.103333             5844          2504
0.01          3                  1                  0    4        256       272       1         0         5         10000     10000     64          1           1           2             .333294      1.038179      .692556           .884671             .926165            1.930416             10593         1236
0.02          3                  1                  0    4        256       272       1         1         5         10000     10000     64          0           1           2             .014714      NA            .923264           .856133             .885539            .900833              5450          2491
0.02          3                  1                  0    4        256       272       1         1         5         10000     10000     64          1           1           2             .237587      .823721       .543876           .734675             .765390            1.569583             10468         1215
0.02          3                  1                  0    4        256       73        1         0         5         10000     10000     64          0           1           2             .022140      NA            1.394759          1.321903            1.348323           1.374583             7672          2467
0.02          3                  1                  0    4        256       73        1         0         5         10000     10000     64          1           1           2             .357966      1.298837      .905610           1.158775            1.233432           2.464583             14626         1252
0.01          3                  1                  0    4        256       73        1         1         5         10000     10000     64          0           1           2             .017869      NA            1.253517          1.192431            1.230891           1.251250             7684          2434
0.01          3                  1                  0    4        256       73        1         1         5         10000     10000     64          1           1           2             .295694      1.159976      .774065           1.031877            1.066806           2.207500             14587         1224
0.02          3                  1                  0    4        256       173       1         0         5         10000     10000     64          0           1           2             .034423      NA            1.603965          1.478036            1.529921           1.567916             8265          2499
0.02          3                  1                  0    4        256       173       1         0         5         10000     10000     64          1           1           2             .708176      1.721145      .892511           1.227047            1.265155           3.032916             18517         1098
0.01          3                  1                  0    4        256       173       1         1         5         10000     10000     64          0           1           2             .020739      NA            1.310739          1.208278            1.240275           1.262916             7608          2528
0.02          3                  1                  0    4        256       173       1         1         5         10000     10000     64          1           1           2             .334043      1.201488      .828668           1.050427            1.094082           2.281250             14620         1251
0.02          3                  1                  0    4        256       273       1         0         5         10000     10000     64          0           1           2             .028319      NA            1.603752          1.459486            1.497978           1.527916             7999          2553
0.01          3                  1                  0    4        256       273       1         0         5         10000     10000     64          1           1           2             .506285      1.452323      .902436           1.245886            1.319157           2.745416             14814         1163
0.02          3                  1                  0    4        256       273       1         1         5         10000     10000     64          0           1           2             .019552      NA            1.280187          1.202030            1.237564           1.259166             7554          2475
0.01          3                  1                  0    4        256       273       1         1         5         10000     10000     64          1           1           2             .310238      1.189694      .787466           1.047197            1.077689           2.256666             14629         1216
0.01          3                  1                  0    4        256       74        1         0         5         10000     10000     64          0           1           2             .007934      NA            1.350601          1.377369            1.421400           1.429166             2566          2277
0.02          3                  1                  0    4        256       74        1         0         5         10000     10000     64          1           1           2             .175339      1.231760      .813779           1.141707            1.169463           2.390416             5229          1202
0.01          3                  1                  0    4        256       74        1         1         5         10000     10000     64          0           1           2             .006162      NA            1.243513          1.281567            1.308921           1.315000             2558          2277
0.02          3                  1                  0    4        256       74        1         1         5         10000     10000     64          1           1           2             .118854      1.114605      .761072           1.087894            1.110283           2.202083             4860          1212
0.02          3                  1                  0    4        256       174       1         0         5         10000     10000     64          0           1           2             .024461      NA            1.455295          1.456987            1.500420           1.517916             2829          2321
0.01          3                  1                  0    4        256       174       1         0         5         10000     10000     64          1           1           2             .389723      1.484942      .829278           1.204073            1.240064           2.730833             8539          1122
0.03          3                  1                  0    4        256       174       1         1         5         10000     10000     64          0           1           2             .008508      NA            1.311536          1.295669            1.330787           1.340000             2623          2360
0.03          3                  1                  0    4        256       174       1         1         5         10000     10000     64          1           1           2             .139750      1.193098      .817913           1.119744            1.151805           2.334166             4916          1226
0.02          3                  1                  0    4        256       274       1         0         5         10000     10000     64          0           1           2             .011562      NA            1.500425          1.449664            1.497015           1.506250             2970          2403
0.01          3                  1                  0    4        256       274       1         0         5         10000     10000     64          1           1           2             .249148      1.355096      .883691           1.227071            1.299532           2.556250             6155          1209
0.02          3                  1                  0    4        256       274       1         1         5         10000     10000     64          0           1           2             .006923      NA            1.270811          1.286543            1.322683           1.329166             2528          2303
0.02          3                  1                  0    4        256       274       1         1         5         10000     10000     64          1           1           2             .132293      1.161324      .799935           1.086457            1.138720           2.242083             4855          1243
0.01          3                  1                  0    4        256       80        1         0         5         10000     10000     64          0           1           2             .122885      preprocessin  .800973           1.088627            1.111062           2.252500             4856          1240
0.03          3                  1                  0    4        256       80        1         0         5         10000     10000     64          1           1           2             .127069      1.154771      .802176           1.090461            1.138106           2.264583             4860          1235
0.02          3                  1                  0    4        256       80        1         1         5         10000     10000     64          0           1           2             .124702      preprocessin  .792795           1.085628            1.115375           2.231250             4874          1242
0.01          3                  1                  0    4        256       80        1         1         5         10000     10000     64          1           1           2             .111033      1.160870      .799707           1.032081            1.162317           41.666666            4854          55
