comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
3.20          303                1                  0    1        1         58        1         0         2         10000     10000     10             1           0           0           16            .042617      NA          .526665           25.746047           25.746042          25.790000            4             2
3.47          302                1                  0    1        1         58        1         0         2         10000     10000     10             1           0           0           16            .033346      NA          .534268           26.107059           26.107056          26.140000            4             2
3.43          302                1                  0    1        1         58        1         0         2         10000     10000     10             1           0           0           16            .032498      NA          .573465           26.120442           26.120437          26.150000            4             2
3.43          304                1                  0    1        1         58        1         0         2         10000     10000     10             1           0           0           16            .046299      NA          .531897           26.085896           26.085889          26.130000            4             2
3.25          304                1                  0    1        1         58        1         0         2         10000     10000     10             1           0           0           16            .033419      NA          .545483           25.009573           25.009569          25.040000            4             2
3.27          303                1                  0    1        1         58        1         0         2         10000     10000     20             1           0           0           16            .060628      NA          .579035           51.725149           51.725142          51.790000            4             1
3.43          303                1                  0    1        1         58        1         0         2         10000     10000     20             1           0           0           16            .078891      NA          .569565           51.719793           51.719790          51.800000            4             1
3.41          303                1                  0    1        1         58        1         0         2         10000     10000     20             1           0           0           16            .060742      NA          .500396           51.722295           51.722290          51.780000            4             0
3.25          303                1                  0    1        1         58        1         0         2         10000     10000     20             1           0           0           16            .059488      NA          .570296           51.756507           51.756502          51.820000            4             1
3.25          304                1                  0    1        1         58        1         0         2         10000     10000     20             1           0           0           16            .060528      NA          .578267           51.727848           51.727843          51.790000            4             1
3.33          304                1                  0    1        1         58        1         0         2         10000     10000     30             1           0           0           16            .090468      NA          .576009           77.313141           77.313134          77.400000            4             0
3.45          303                1                  0    1        1         58        1         0         2         10000     10000     30             1           0           0           16            .091629      NA          .581233           77.267214           77.267208          77.360000            4             0
3.26          303                1                  0    1        1         58        1         0         2         10000     10000     30             1           0           0           16            .096809      NA          .580090           77.305638           77.305631          77.400000            4             0
3.36          303                1                  0    1        1         58        1         0         2         10000     10000     30             1           0           0           16            .094130      NA          .568448           77.356903           77.356897          77.450000            4             0
