comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
3.42;310;1;0;1;1;58;1;0;5;10000;10000;1;1;1;0;16;.020446;.000873;.007363;.047799;.047795;.070000;4;19
3.46;310;1;0;1;1;58;1;0;5;10000;10000;1;1;1;0;16;.014103;.000872;.007268;.447319;.447316;.460000;4;3
3.15;309;1;0;1;1;58;1;0;5;10000;10000;1;1;1;0;16;.020580;.000892;.007111;.055504;.055501;.080000;4;18
3.42;309;1;0;1;1;58;1;0;5;10000;10000;1;1;1;0;16;.012233;.000930;.006666;.050164;.050159;.060000;4;22
3.24;311;1;0;1;1;58;1;0;5;10000;10000;3;1;1;0;16;.029053;.000889;.006104;.066299;.066295;.090000;4;13
3.27;310;1;0;1;1;58;1;0;5;10000;10000;3;1;1;0;16;.035402;.000856;.006439;.085678;.085674;.120000;4;11
3.25;311;1;0;1;1;58;1;0;5;10000;10000;3;1;1;0;16;.023015;.000924;.007859;.063522;.063519;.090000;4;17
3.29;310;1;0;1;1;58;1;0;5;10000;10000;3;1;1;0;16;.036477;.000863;.007028;.282735;.282731;.320000;4;4
3.31;309;1;0;1;1;58;1;0;5;10000;10000;5;1;1;0;16;.042210;.000865;.007380;.548176;.548172;.590000;4;2
3.32;309;1;0;1;1;58;1;0;5;10000;10000;5;1;1;0;16;.044393;.000824;.006946;.253956;.253952;.300000;4;4
3.45;309;1;0;1;1;58;1;0;5;10000;10000;5;1;1;0;16;.046572;.000803;.008011;.068414;.068411;.110000;4;11
3.31;309;1;0;1;1;58;1;0;5;10000;10000;5;1;1;0;16;.051874;.000860;.007347;.335441;.335438;.390000;4;4
3.29;309;1;0;1;1;58;1;0;5;10000;10000;7;1;1;0;16;.054762;.000738;.010260;.089306;.089302;.140000;4;12
3.28;310;1;0;1;1;58;1;0;5;10000;10000;7;1;1;0;16;.058165;.000865;.010608;.543890;.543886;.600000;4;3
3.16;310;1;0;1;1;58;1;0;5;10000;10000;7;1;1;0;16;.056107;.000885;.010860;.099087;.099083;.160000;4;11
3.26;311;1;0;1;1;58;1;0;5;10000;10000;7;1;1;0;16;.060805;.000862;.009889;.076382;.076379;.140000;4;12
3.25;309;1;0;1;1;58;1;0;5;10000;10000;9;1;1;0;16;.072065;.000869;.008240;.056047;.056042;.130000;4;12
3.15;309;1;0;1;1;58;1;0;5;10000;10000;9;1;1;0;16;.081889;.000889;.009588;.182071;.182065;.260000;4;6
3.42;309;1;0;1;1;58;1;0;5;10000;10000;9;1;1;0;16;.070449;.000743;.007157;.101573;.101568;.170000;4;7
3.43;310;1;0;1;1;58;1;0;5;10000;10000;9;1;1;0;16;.068078;.000876;.006244;.101624;.101620;.170000;4;8
3.44;309;1;0;1;1;58;1;0;5;10000;10000;11;1;1;0;16;.098026;.000921;.008505;.108643;.108640;.210000;4;8
3.46;310;1;0;1;1;58;1;0;5;10000;10000;11;1;1;0;16;.084062;.000837;.010337;.322175;.322171;.410000;4;4
3.25;309;1;0;1;1;58;1;0;5;10000;10000;11;1;1;0;16;.089596;.000908;.012053;.354389;.354384;.440000;4;4
3.27;310;1;0;1;1;58;1;0;5;10000;10000;11;1;1;0;16;.084333;.000843;.008080;.404397;.404391;.490000;4;3
3.34;298;1;0;1;1;58;1;0;11;10000;10000;1;1;1;0;16;.018950;.001447;.026163;.063381;.063378;.080000;4;43
3.20;299;1;0;1;1;58;1;0;11;10000;10000;1;1;1;0;16;.027669;.000834;.021726;.088985;.088983;.120000;4;26
3.46;298;1;0;1;1;58;1;0;11;10000;10000;1;1;1;0;16;.020835;.002978;.027890;.068869;.068866;.090000;4;40
3.12;299;1;0;1;1;58;1;0;11;10000;10000;1;1;1;0;16;.020471;.003228;.018869;.059917;.059914;.080000;4;29
3.21;298;1;0;1;1;58;1;0;11;10000;10000;3;1;1;0;16;.035684;.000929;.053455;.517352;.517348;.550000;4;11
3.37;299;1;0;1;1;58;1;0;11;10000;10000;3;1;1;0;16;.035734;.003415;.016249;.085331;.085328;.120000;4;21
3.38;299;1;0;1;1;58;1;0;11;10000;10000;3;1;1;0;16;.027139;.004232;.017686;.126002;.125999;.160000;4;14
3.20;298;1;0;1;1;58;1;0;11;10000;10000;3;1;1;0;16;.027387;.004266;.017046;.074310;.074307;.100000;4;22
3.36;299;1;0;1;1;58;1;0;11;10000;10000;5;1;1;0;16;.052075;.000952;.025866;.085178;.085172;.140000;4;25
3.33;298;1;0;1;1;58;1;0;11;10000;10000;5;1;1;0;16;.040826;.007924;.032401;.359450;.359447;.410000;4;10
3.22;298;1;0;1;1;58;1;0;11;10000;10000;5;1;1;0;16;.044281;.006065;.027072;.307436;.307431;.360000;4;9
3.20;298;1;0;1;1;58;1;0;11;10000;10000;5;1;1;0;16;.046619;.006093;.026864;.077493;.077488;.130000;4;28
3.42;299;1;0;1;1;58;1;0;11;10000;10000;7;1;1;0;16;.058882;.007811;.027015;.109152;.109147;.180000;4;20
3.24;298;1;0;1;1;58;1;0;11;10000;10000;7;1;1;0;16;.068288;.001234;.028944;.136095;.136091;.210000;4;19
3.36;298;1;0;1;1;58;1;0;11;10000;10000;7;1;1;0;16;.065336;.000774;.024978;.351589;.351584;.420000;4;8
