comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  bandwidths(Mbs)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.04          249                1                  0    40       256       2         1         0         8         10000     10000     12000            100000      0           0           2             .000529      NA          .000853           .002391             .002916            .003500              19            1060
1.95          249                1                  0    40       256       2         1         0         8         10000     10000     12000            100000      0           0           2             .000549      NA          .000830           .002115             .002577            .002750              21            1252
2.13          249                1                  0    40       256       2         1         0         8         10000     10000     12000            100000      0           0           2             .000556      NA          .000791           .002040             .002535            .002750              19            1230
1.92          249                1                  0    40       256       2         1         0         8         10000     10000     10000            100000      0           0           2             .000567      NA          .000835           .002770             .003216            .003750              21            959
1.90          249                1                  0    40       256       2         1         0         8         10000     10000     10000            100000      0           0           2             .000504      NA          .000841           .002635             .003067            .003250              23            1145
2.12          248                1                  0    40       256       2         1         0         8         10000     10000     10000            100000      0           0           2             .000518      NA          .000886           .002882             .003304            .003500              20            1067
2.07          248                1                  0    40       256       2         1         0         8         10000     10000     8000             100000      0           0           2             .000171      NA          .000882           .003058             .003494            .003750              20            1006
1.93          249                1                  0    40       256       2         1         0         8         10000     10000     8000             100000      0           0           2             .000313      NA          .000901           .003129             .003589            .004000              20            959
2.33          249                1                  0    40       256       2         1         0         8         10000     10000     8000             100000      0           0           2             .000447      NA          .000878           .003123             .003640            .003750              21            973
2.11          249                1                  0    40       256       2         1         0         8         10000     10000     6000             100000      0           0           2             .000722      NA          .000922           .004039             .004855            .005250              19            732
2.06          248                1                  0    40       256       2         1         0         8         10000     10000     6000             100000      0           0           2             .000378      NA          .000903           .004107             .004681            .004750              21            789
1.93          249                1                  0    40       256       2         1         0         8         10000     10000     6000             100000      0           0           2             .000483      NA          .000937           .003933             .004668            .004750              21            820
1.92          248                1                  0    40       256       2         1         0         8         10000     10000     4000             100000      0           0           2             .000292      NA          .001002           .005980             .006844            .007000              21            605
2.16          249                1                  0    40       256       2         1         0         8         10000     10000     4000             100000      0           0           2             .000570      NA          .000973           .005870             .007149            .007750              20            538
2.06          249                1                  0    40       256       2         1         0         8         10000     10000     4000             100000      0           0           2             .000251      NA          .000989           .006021             .006893            .007000              19            600
2.07          252                1                  0    40       256       2         1         0         8         10000     10000     2000             100000      0           0           2             .000183      NA          .001163           .011753             .013129            .013500              21            370
1.99          250                1                  0    40       256       2         1         0         8         10000     10000     2000             100000      0           0           2             .000184      NA          .001211           .012434             .013493            .013750              19            374
1.97          249                1                  0    40       256       2         1         0         8         10000     10000     2000             100000      0           0           2             .000253      NA          .001223           .012548             .013633            .013750              21            376
1.97          250                1                  0    40       256       2         1         0         8         10000     10000     1000             100000      0           0           2             .000409      NA          .001340           .022813             .026697            .027000              19            211
1.96          250                1                  0    40       256       2         1         0         8         10000     10000     1000             100000      0           0           2             .000433      NA          .001320           .023042             .026260            .026500              20            211
2.03          249                1                  0    40       256       2         1         0         8         10000     10000     1000             100000      0           0           2             .000587      NA          .001373           .022053             .027136            .027500              19            210
2.17          248                1                  0    40       256       2         1         0         9         10000     10000     12000            100000      0           0           2             .000643      NA          .001340           .002106             .002252            .002750              29            2054
1.96          248                1                  0    40       256       2         1         0         9         10000     10000     12000            100000      0           0           2             .000545      NA          .001228           .001930             .002155            .002500              30            1975
2.07          248                1                  0    40       256       2         1         0         9         10000     10000     12000            100000      0           0           2             .000492      NA          .001278           .001959             .002096            .002500              30            2174
2.29          248                1                  0    40       256       2         1         0         9         10000     10000     10000            100000      0           0           2             .000421      NA          .001254           .002295             .002634            .002750              30            1828
2.07          248                1                  0    40       256       2         1         0         9         10000     10000     10000            100000      0           0           2             .000452      NA          .001220           .002421             .002561            .003000              29            1778
2.11          249                1                  0    40       256       2         1         0         9         10000     10000     10000            100000      0           0           2             .000276      NA          .001272           .002357             .002497            .002750              29            1958
2.19          248                1                  0    40       256       2         1         0         9         10000     10000     8000             100000      0           0           2             .000308      NA          .001274           .003023             .003239            .003500              30            1530
1.91          250                1                  0    40       256       2         1         0         9         10000     10000     8000             100000      0           0           2             .000310      NA          .001229           .003069             .003302            .003500              29            1454
1.95          249                1                  0    40       256       2         1         0         9         10000     10000     8000             100000      0           0           2             .000510      NA          .001252           .002926             .003150            .003250              31            1555
1.95          249                1                  0    40       256       2         1         0         9         10000     10000     6000             100000      0           0           2             .000348      NA          .001274           .004041             .004264            .004750              29            1184
1.94          248                1                  0    40       256       2         1         0         9         10000     10000     6000             100000      0           0           2             .000367      NA          .001320           .004130             .004431            .004750              30            1184
1.93          248                1                  0    40       256       2         1         0         9         10000     10000     6000             100000      0           0           2             .000321      NA          .001308           .004083             .004331            .004500              29            1223
1.95          248                1                  0    40       256       2         1         0         9         10000     10000     4000             100000      0           0           2             .000494      NA          .001460           .006038             .006507            .006750              32            929
2.06          249                1                  0    40       256       2         1         0         9         10000     10000     4000             100000      0           0           2             .000535      NA          .001419           .006101             .006546            .007000              30            881
1.92          248                1                  0    40       256       2         1         0         9         10000     10000     4000             100000      0           0           2             .000550      NA          .001462           .006199             .006544            .007000              29            890
2.13          249                1                  0    40       256       2         1         0         9         10000     10000     2000             100000      0           0           2             .000453      NA          .001723           .012547             .012940            .013250              31            559
2.07          248                1                  0    40       256       2         1         0         9         10000     10000     2000             100000      0           0           2             .000791      NA          .001690           .012478             .012990            .013500              30            544
1.96          248                1                  0    40       256       2         1         0         9         10000     10000     2000             100000      0           0           2             .000785      NA          .001746           .012535             .013057            .013250              31            569
2.19          249                1                  0    40       256       2         1         0         9         10000     10000     1000             100000      0           0           2             .000347      NA          .001999           .023750             .025966            .026250              30            323
1.94          249                1                  0    40       256       2         1         0         9         10000     10000     1000             100000      0           0           2             .000806      NA          .001864           .024094             .025875            .026500              31            296
2.12          248                1                  0    40       256       2         1         0         9         10000     10000     1000             100000      0           0           2             .000440      NA          .001954           .023949             .029317            .029500              29            279
1.97          248                1                  0    40       256       2         1         0         10        10000     10000     12000            100000      0           0           2             .000387      NA          .000683           .001818             .002187            .002500              19            1339
1.92          249                1                  0    40       256       2         1         0         10        10000     10000     12000            100000      0           0           2             .000422      NA          .000705           .001919             .002244            .002500              16            1256
2.08          248                1                  0    40       256       2         1         0         10        10000     10000     12000            100000      0           0           2             .000226      NA          .000717           .001965             .002277            .002500              16            1265
2.04          249                1                  0    40       256       2         1         0         10        10000     10000     10000            100000      0           0           2             .000228      NA          .000746           .002319             .002742            .003000              17            1116
2.09          249                1                  0    40       256       2         1         0         10        10000     10000     10000            100000      0           0           2             .000369      NA          .000713           .002239             .002769            .003000              15            1015
1.91          249                1                  0    40       256       2         1         0         10        10000     10000     10000            100000      0           0           2             .000211      NA          .000742           .002222             .002599            .002750              16            1135
2.30          249                1                  0    40       256       2         1         0         10        10000     10000     8000             100000      0           0           2             .000232      NA          .000784           .002896             .003312            .003500              17            992
1.95          248                1                  0    40       256       2         1         0         10        10000     10000     8000             100000      0           0           2             .000407      NA          .000752           .002840             .003220            .003500              15            959
1.93          249                1                  0    40       256       2         1         0         10        10000     10000     8000             100000      0           0           2             .000446      NA          .000757           .002834             .003233            .003500              17            975
1.98          248                1                  0    40       256       2         1         0         10        10000     10000     6000             100000      0           0           2             .000579      NA          .000871           .003904             .004455            .005000              15            785
1.96          250                1                  0    40       256       2         1         0         10        10000     10000     6000             100000      0           0           2             .000252      NA          .000844           .003732             .004313            .004500              15            824
2.02          249                1                  0    40       256       2         1         0         10        10000     10000     6000             100000      0           0           2             .000397      NA          .000870           .003632             .004313            .004750              15            810
1.95          249                1                  0    40       256       2         1         0         10        10000     10000     4000             100000      0           0           2             .000349      NA          .001007           .005310             .006483            .006750              17            656
1.96          248                1                  0    40       256       2         1         0         10        10000     10000     4000             100000      0           0           2             .000221      NA          .000933           .005437             .006601            .006750              17            602
2.13          249                1                  0    40       256       2         1         0         10        10000     10000     4000             100000      0           0           2             .000245      NA          .000985           .005629             .006663            .007000              16            630
1.95          249                1                  0    40       256       2         1         0         10        10000     10000     2000             100000      0           0           2             .000297      NA          .001235           .010798             .012959            .013250              16            406
1.94          249                1                  0    40       256       2         1         0         10        10000     10000     2000             100000      0           0           2             .000409      NA          .001150           .010383             .012975            .013250              15            387
1.98          249                1                  0    40       256       2         1         0         10        10000     10000     2000             100000      0           0           2             .000249      NA          .001190           .010778             .012924            .013250              17            393
1.92          249                1                  0    40       256       2         1         0         10        10000     10000     1000             100000      0           0           2             .000342      NA          .001327           .018305             .026708            .027000              15            214
2.21          248                1                  0    40       256       2         1         0         10        10000     10000     1000             100000      0           0           2             .000354      NA          .001322           .019030             .025932            .026250              17            218
