comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.01;3;1;0;2;256;14;1;0;12;10000;10000;1000;0;3;0;.000131;NA;.000104;.000137;.000211;.000416;4;1612
0.02;3;1;0;2;256;14;1;0;12;10000;10000;1000;0;3;0;.000219;NA;.000097;.000178;.000246;.000416;7;1569
0.02;3;1;0;2;256;14;1;0;12;10000;10000;1000;0;3;0;.000124;NA;.000105;.000140;.000206;.000416;4;1550
0.02;3;1;0;2;256;14;1;0;12;10000;10000;4000;0;3;0;.000143;NA;.000722;.001245;.001595;.001875;7;2014
0.01;3;1;0;2;256;14;1;0;12;10000;10000;4000;0;3;0;.000245;NA;.000706;.001268;.001671;.001875;4;1854
0.02;3;1;0;2;256;14;1;0;12;10000;10000;4000;0;3;0;.000123;NA;.000713;.001325;.001889;.002083;4;1672
0.03;3;1;0;2;256;14;1;0;12;10000;10000;8000;0;3;0;.000294;NA;.002277;.004538;.005768;.006041;4;1846
0.01;3;1;0;2;256;14;1;0;12;10000;10000;8000;0;3;0;.000125;NA;.002336;.004390;.005434;.005625;4;1991
0.02;3;1;0;2;256;14;1;0;12;10000;10000;8000;0;3;0;.000153;NA;.002400;.004336;.005560;.005833;4;1995
0.01;3;1;0;2;256;14;1;0;12;10000;10000;12000;0;3;0;.000228;NA;.005200;.008788;.010699;.010833;5;2304
0.02;3;1;0;2;256;14;1;0;12;10000;10000;12000;0;3;0;.000125;NA;.004930;.008768;.011276;.011458;5;2077
0.02;3;1;0;2;256;14;1;0;12;10000;10000;12000;0;3;0;.000336;NA;.005035;.008765;.010266;.010625;5;2282
0.01;3;1;0;2;256;14;1;0;12;10000;10000;16000;0;3;0;.000128;NA;.009106;.014365;.017106;.017291;6;2529
0.02;3;1;0;2;256;14;1;0;12;10000;10000;16000;0;3;0;.000326;NA;.008828;.014376;.016909;.017083;7;2479
0.02;3;1;0;2;256;14;1;0;12;10000;10000;16000;0;3;0;.000180;NA;.009143;.014330;.016653;.016875;6;2602
0.02;3;1;0;2;256;14;1;0;12;10000;10000;20000;0;3;0;.000130;NA;.014471;.021570;.024558;.024791;7;2807
0.02;3;1;0;2;256;14;1;0;12;10000;10000;20000;0;3;0;.000132;NA;.014537;.021668;.024512;.024791;6;2827
0.02;3;1;0;2;256;14;1;0;12;10000;10000;20000;0;3;0;.000232;NA;.014247;.021595;.024437;.024583;8;2780
0.02;3;1;0;2;256;14;1;0;7;10000;10000;1000;0;3;0;.000333;NA;.000048;.000051;.000126;.000416;9;980
0.02;3;1;0;2;256;14;1;0;7;10000;10000;1000;0;3;0;.000128;NA;.000046;.000035;.000062;.000208;3;1423
0.01;3;1;0;2;256;14;1;0;7;10000;10000;1000;0;3;0;.000334;NA;.000041;.000053;.000127;.000416;3;811
0.02;3;1;0;2;256;14;1;0;7;10000;10000;4000;0;3;0;.000127;NA;.000434;.000453;.000647;.000833;3;2404
0.01;3;1;0;2;256;14;1;0;7;10000;10000;4000;0;3;0;.000408;NA;.000416;.000439;.000607;.001041;3;2096
0.01;3;1;0;2;256;14;1;0;7;10000;10000;4000;0;3;0;.000138;NA;.000427;.000455;.000709;.000833;3;2335
0.02;3;1;0;2;256;14;1;0;7;10000;10000;8000;0;3;0;.000202;NA;.001280;.001342;.001579;.001666;7;3460
0.02;3;1;0;2;256;14;1;0;7;10000;10000;8000;0;3;0;.000463;NA;.001281;.001387;.001571;.001875;3;3152
0.02;3;1;0;2;256;14;1;0;7;10000;10000;8000;0;3;0;.000326;NA;.001278;.001347;.001530;.001666;3;3498
0.02;3;1;0;2;256;14;1;0;7;10000;10000;12000;0;3;0;.000363;NA;.002640;.002784;.003141;.003333;3;3740
0.02;3;1;0;2;256;14;1;0;7;10000;10000;12000;0;3;0;.000260;NA;.002607;.002741;.003134;.003333;7;3702
0.01;3;1;0;2;256;14;1;0;7;10000;10000;12000;0;3;0;.000275;NA;.002601;.002806;.003245;.003541;3;3602
0.02;3;1;0;2;256;14;1;0;7;10000;10000;16000;0;3;0;.000388;NA;.004323;.004632;.005269;.005625;4;3714
0.03;3;1;0;2;256;14;1;0;7;10000;10000;16000;0;3;0;.000525;NA;.004421;.004745;.005255;.005625;4;3793
0.01;3;1;0;2;256;14;1;0;7;10000;10000;16000;0;3;0;.000425;NA;.004465;.004677;.005346;.005625;4;3859
0.02;3;1;0;2;256;14;1;0;7;10000;10000;20000;0;3;0;.000487;NA;.006558;.006956;.007975;.008333;4;3744
0.03;3;1;0;2;256;14;1;0;7;10000;10000;20000;0;3;0;.000223;NA;.006486;.007088;.008036;.008333;4;3758
0.02;3;1;0;2;256;14;1;0;7;10000;10000;20000;0;3;0;.000233;NA;.006540;.007147;.008064;.008333;4;3793
0.02;3;1;0;2;256;14;1;0;8;10000;10000;1000;0;3;0;.000260;NA;.000139;.000270;.000380;.000625;9;1493
0.02;3;1;0;2;256;14;1;0;8;10000;10000;1000;0;3;0;.000123;NA;.000150;.000254;.000350;.000625;4;1580
0.02;3;1;0;2;256;14;1;0;8;10000;10000;1000;0;3;0;.000124;NA;.000139;.000209;.000301;.000416;4;1617
0.02;3;1;0;2;256;14;1;0;8;10000;10000;4000;0;3;0;.000336;NA;.001142;.002077;.002564;.002916;4;1893
0.03;3;1;0;2;256;14;1;0;8;10000;10000;4000;0;3;0;.000122;NA;.001174;.002073;.003023;.003333;4;1773
0.03;3;1;0;2;256;14;1;0;8;10000;10000;4000;0;3;0;.000124;NA;.001149;.002133;.003120;.003333;4;1719
0.01;3;1;0;2;256;14;1;0;8;10000;10000;8000;0;3;0;.000575;NA;.003774;.006906;.008400;.008750;5;2067
0.01;3;1;0;2;256;14;1;0;8;10000;10000;8000;0;3;0;.000322;NA;.003903;.006923;.008323;.008541;7;2204
0.02;3;1;0;2;256;14;1;0;8;10000;10000;8000;0;3;0;.000120;NA;.003858;.007103;.008479;.008750;10;2148
0.01;3;1;0;2;256;14;1;0;8;10000;10000;12000;0;3;0;.000133;NA;.008582;.014589;.016514;.016666;10;2465
0.01;3;1;0;2;256;14;1;0;8;10000;10000;12000;0;3;0;.000317;NA;.008536;.014351;.016315;.016458;6;2488
0.01;3;1;0;2;256;14;1;0;8;10000;10000;12000;0;3;0;.000127;NA;.008567;.014348;.016193;.016458;6;2510
0.01;3;1;0;2;256;14;1;0;8;10000;10000;16000;0;3;0;.000200;NA;.015523;.024117;.027071;.027291;7;2738
0.02;3;1;0;2;256;14;1;0;8;10000;10000;16000;0;3;0;.000126;NA;.015500;.024067;.026820;.027083;8;2753
0.03;3;1;0;2;256;14;1;0;8;10000;10000;16000;0;3;0;.000131;NA;.015872;.023989;.026352;.026666;8;2865
0.02;3;1;0;2;256;14;1;0;8;10000;10000;20000;0;3;0;.000267;NA;.025296;.036272;.040177;.040416;9;3005
0.02;3;1;0;2;256;14;1;0;8;10000;10000;20000;0;3;0;.000128;NA;.025126;.036310;.039501;.039791;8;3038
0.02;3;1;0;2;256;14;1;0;8;10000;10000;20000;0;3;0;.000232;NA;.025273;.036439;.039782;.040208;9;3024
0.01;3;1;0;2;256;14;1;0;9;10000;10000;1000;0;3;0;.000175;NA;.000205;.000223;.000341;.000416;3;2157
0.01;3;1;0;2;256;14;1;0;9;10000;10000;1000;0;3;0;.000182;NA;.000194;.000248;.000343;.000625;4;1877
0.03;3;1;0;2;256;14;1;0;9;10000;10000;1000;0;3;0;.000214;NA;.000201;.000266;.000368;.000625;4;1925
0.02;3;1;0;2;256;14;1;0;9;10000;10000;4000;0;3;0;.000380;NA;.001553;.001729;.001912;.002083;4;3534
0.01;3;1;0;2;256;14;1;0;9;10000;10000;4000;0;3;0;.000150;NA;.001565;.001757;.001868;.002083;8;3605
0.03;3;1;0;2;256;14;1;0;9;10000;10000;4000;0;3;0;.000233;NA;.001573;.001720;.001844;.002083;4;3690
0.02;3;1;0;2;256;14;1;0;9;10000;10000;8000;0;3;0;.000129;NA;.005350;.005990;.006442;.006666;5;3870
0.01;3;1;0;2;256;14;1;0;9;10000;10000;8000;0;3;0;.000573;NA;.005271;.005923;.006360;.006875;5;3722
0.02;3;1;0;2;256;14;1;0;9;10000;10000;8000;0;3;0;.000413;NA;.005273;.005987;.006566;.006666;5;3734
0.02;3;1;0;2;256;14;1;0;9;10000;10000;12000;0;3;0;.000374;NA;.011275;.012467;.013658;20.833333;9;2
